==============================================
BLEU GOLD:                               65.17
BLEU IN:                                 88.27
ACC GOLD:                               0.0030
ACC IN:                                 0.3730
SIM GOLD:                               0.8905
SIM IN:                                 0.9765
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     85.69 |   99.08 |     0.96 |   1.00
0002 -     84.52 |   99.83 |     0.89 |   0.97
0003 -     99.48 |  100.00 |     0.84 |   1.00
0004 -     42.86 |  100.00 |     0.91 |   1.00
0005 -     99.25 |   50.84 |     1.00 |   0.96
0006 -      0.00 |    0.00 |     0.85 |   0.99
0007 -     46.64 |   86.56 |     0.85 |   0.91
0008 -      0.00 |    0.00 |     0.72 |   0.95
0009 -      0.00 |    0.00 |     0.73 |   0.92
0010 -     24.49 |   10.98 |     0.99 |   1.00
0011 -     99.17 |  100.00 |     0.87 |   1.00
0012 -     55.87 |   94.02 |     0.94 |   1.00
0013 -      0.00 |    0.00 |     0.96 |   1.00
0014 -      0.00 |  100.00 |     0.78 |   1.00
0015 -     50.22 |   51.62 |     0.93 |   0.98
0016 -     33.52 |   75.11 |     0.81 |   0.99
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |    0.00 |     0.92 |   1.00
0019 -      0.00 |   96.37 |     0.95 |   0.98
0020 -     53.65 |   43.66 |     0.85 |   1.00
0021 -     79.72 |  100.00 |     0.96 |   1.00
0022 -      0.00 |   24.46 |     0.95 |   1.00
0023 -      9.45 |  100.00 |     0.92 |   1.00
0024 -     72.87 |  100.00 |     0.99 |   1.00
0025 -     85.89 |  100.00 |     0.89 |   1.00
0026 -     67.70 |   67.59 |     0.99 |   1.00
0027 -     60.11 |  100.00 |     0.93 |   1.00
0028 -     99.40 |  100.00 |     0.93 |   1.00
0029 -     59.15 |  100.00 |     0.95 |   1.00
0030 -     30.09 |   99.81 |     0.96 |   0.97
0031 -     20.03 |   15.40 |     0.88 |   0.97
0032 -     19.11 |   98.75 |     0.89 |   0.96
0033 -     28.82 |   77.39 |     0.87 |   1.00
0034 -     25.35 |   95.49 |     0.98 |   1.00
0035 -     38.25 |   79.02 |     0.86 |   0.96
0036 -     26.80 |   98.75 |     0.97 |   0.99
0037 -      8.13 |   18.70 |     0.87 |   1.00
0038 -     88.99 |   15.80 |     0.91 |   0.95
0039 -     19.07 |   99.81 |     0.94 |   1.00
0040 -     99.81 |  100.00 |     0.90 |   1.00
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -     76.44 |   99.80 |     0.90 |   0.98
0043 -     21.48 |    8.53 |     0.97 |   0.98
0044 -     99.78 |  100.00 |     0.92 |   1.00
0045 -     50.67 |  100.00 |     0.93 |   1.00
0046 -      0.00 |    0.00 |     0.98 |   1.00
0047 -     19.72 |    0.00 |     0.90 |   0.99
0048 -     25.78 |   19.43 |     0.91 |   0.98
0049 -     60.20 |  100.00 |     0.98 |   1.00
0050 -     43.15 |  100.00 |     0.90 |   0.96
0051 -     19.19 |   48.52 |     0.93 |   0.99
0052 -     67.65 |   99.07 |     0.95 |   0.99
0053 -      0.00 |    0.00 |     0.74 |   0.81
0054 -      0.00 |    0.00 |     0.86 |   0.93
0055 -    100.00 |    0.00 |     1.00 |   0.92
0056 -     42.71 |   16.20 |     0.96 |   0.98
0057 -     67.42 |   69.16 |     0.94 |   0.95
0058 -      0.00 |    0.00 |     0.89 |   0.86
0059 -      0.00 |  100.00 |     0.83 |   1.00
0060 -     73.59 |   99.45 |     0.95 |   1.00
0061 -     17.35 |  100.00 |     0.99 |   0.99
0062 -     71.70 |  100.00 |     0.97 |   1.00
0063 -     27.34 |   69.33 |     0.44 |   0.50
0064 -     71.11 |   65.97 |     0.95 |   0.99
0065 -      5.79 |    5.79 |     0.93 |   0.95
0066 -     32.15 |   94.78 |     0.92 |   0.99
0067 -     18.22 |   17.06 |     0.98 |   0.98
0068 -     47.95 |  100.00 |     0.73 |   1.00
0069 -      0.00 |  100.00 |     0.93 |   1.00
0070 -     25.95 |   97.59 |     0.96 |   1.00
0071 -      6.75 |   57.18 |     0.93 |   0.98
0072 -     58.83 |  100.00 |     0.84 |   1.00
0073 -     77.96 |   53.25 |     0.85 |   1.00
0074 -      0.00 |    0.00 |     0.69 |   0.87
0075 -     62.77 |   96.24 |     0.96 |   0.99
0076 -     38.48 |   30.02 |     0.83 |   0.99
0077 -     60.76 |   56.85 |     0.93 |   0.98
0078 -      0.00 |    0.00 |     0.77 |   0.87
0079 -      0.00 |   81.81 |     0.93 |   0.97
0080 -     67.53 |  100.00 |     0.94 |   1.00
0081 -     81.96 |  100.00 |     0.94 |   1.00
0082 -      0.00 |  100.00 |     0.90 |   1.00
0083 -     18.01 |  100.00 |     0.99 |   1.00
0084 -     10.51 |    9.18 |     0.84 |   0.99
0085 -      0.00 |  100.00 |     0.73 |   1.00
0086 -      0.00 |  100.00 |     0.89 |   1.00
0087 -     80.96 |  100.00 |     0.90 |   1.00
0088 -     95.00 |   96.67 |     0.95 |   0.97
0089 -     50.26 |   62.26 |     0.90 |   0.93
0090 -     77.41 |   92.57 |     0.83 |   0.98
0091 -      0.00 |  100.00 |     0.91 |   1.00
0092 -     59.79 |   82.19 |     0.95 |   0.99
0093 -      0.00 |    0.00 |     0.85 |   0.98
0094 -      9.69 |   26.98 |     0.87 |   0.96
0095 -     93.94 |  100.00 |     0.94 |   1.00
0096 -      0.00 |    0.00 |     0.92 |   0.89
0097 -     36.16 |   84.54 |     0.83 |   0.90
0098 -     50.95 |   70.33 |     0.79 |   0.86
0099 -     84.25 |  100.00 |     0.87 |   1.00
0100 -     54.67 |   74.43 |     0.69 |   1.00
0101 -     39.55 |  100.00 |     0.84 |   1.00
0102 -     72.21 |  100.00 |     0.96 |   1.00
0103 -      0.00 |    0.00 |     0.94 |   0.98
0104 -     43.08 |   99.80 |     0.93 |   0.98
0105 -     12.41 |   11.33 |     0.93 |   1.00
0106 -     93.06 |   98.14 |     0.98 |   1.00
0107 -      0.00 |    0.00 |     0.81 |   0.93
0108 -     55.38 |   99.64 |     0.80 |   0.93
0109 -     97.14 |   87.14 |     0.88 |   0.94
0110 -     12.71 |  100.00 |     0.91 |   1.00
0111 -     55.75 |  100.00 |     0.95 |   1.00
0112 -     49.68 |   99.85 |     0.91 |   0.97
0113 -     14.56 |  100.00 |     0.94 |   1.00
0114 -      0.00 |    0.00 |     0.78 |   0.78
0115 -     55.05 |   87.65 |     0.96 |   0.97
0116 -     55.67 |  100.00 |     0.91 |   1.00
0117 -     19.38 |   41.55 |     0.96 |   0.97
0118 -     14.29 |   15.05 |     0.92 |   0.98
0119 -      0.00 |    0.00 |     0.92 |   1.00
0120 -     15.43 |   98.80 |     0.95 |   0.99
0121 -      0.00 |  100.00 |     0.82 |   1.00
0122 -     19.05 |   21.08 |     0.97 |   1.00
0123 -     23.28 |  100.00 |     0.93 |   1.00
0124 -     43.18 |  100.00 |     0.58 |   1.00
0125 -      0.00 |  100.00 |     0.95 |   1.00
0126 -      0.00 |   94.92 |     0.93 |   0.97
0127 -      0.00 |   60.23 |     0.80 |   0.84
0128 -      7.95 |    0.00 |     0.88 |   0.99
0129 -     14.10 |   12.75 |     0.80 |   0.98
0130 -     70.54 |   82.87 |     0.95 |   0.99
0131 -     62.97 |   99.82 |     0.93 |   0.97
0132 -     59.60 |  100.00 |     0.81 |   1.00
0133 -      0.00 |    0.00 |     0.94 |   0.98
0134 -     67.56 |  100.00 |     0.95 |   1.00
0135 -     40.89 |   95.40 |     0.97 |   1.00
0136 -     31.71 |   99.85 |     0.94 |   0.97
0137 -     13.18 |  100.00 |     0.97 |   1.00
0138 -      0.00 |  100.00 |     0.80 |   1.00
0139 -     61.02 |  100.00 |     0.94 |   1.00
0140 -     24.21 |   79.51 |     0.91 |   1.00
0141 -     32.21 |   24.09 |     0.84 |   0.97
0142 -     53.70 |   60.99 |     0.76 |   0.95
0143 -      0.00 |    0.00 |     0.80 |   0.85
0144 -      0.00 |    0.00 |     0.84 |   0.92
0145 -     31.40 |   99.60 |     0.96 |   0.99
0146 -     48.59 |   71.17 |     0.97 |   1.00
0147 -     10.49 |  100.00 |     0.87 |   1.00
0148 -     41.79 |  100.00 |     0.89 |   1.00
0149 -      0.00 |  100.00 |     0.96 |   1.00
0150 -     17.41 |   93.03 |     0.81 |   0.99
0151 -      0.00 |  100.00 |     0.71 |   1.00
0152 -     99.75 |   78.10 |     0.96 |   0.99
0153 -      0.00 |    0.00 |     0.91 |   0.93
0154 -     14.12 |  100.00 |     0.80 |   1.00
0155 -      7.61 |    5.37 |     0.86 |   0.96
0156 -      0.00 |   98.99 |     0.93 |   1.00
0157 -     79.35 |  100.00 |     0.82 |   1.00
0158 -     59.84 |  100.00 |     0.88 |   1.00
0159 -     15.22 |   60.85 |     0.97 |   1.00
0160 -      0.00 |    0.00 |     0.89 |   0.99
0161 -     53.32 |  100.00 |     0.88 |   1.00
0162 -     31.96 |   38.56 |     1.00 |   0.98
0163 -     74.19 |  100.00 |     0.99 |   1.00
0164 -     27.19 |   54.94 |     0.74 |   1.00
0165 -      0.00 |   57.53 |     0.89 |   0.94
0166 -     18.22 |  100.00 |     0.88 |   1.00
0167 -      0.00 |    0.00 |     0.84 |   0.86
0168 -     26.67 |  100.00 |     0.83 |   1.00
0169 -     13.95 |   15.97 |     0.75 |   0.95
0170 -     39.13 |  100.00 |     0.95 |   1.00
0171 -      0.00 |    0.00 |     0.92 |   0.93
0172 -     43.80 |  100.00 |     0.94 |   1.00
0173 -     56.50 |   99.68 |     0.85 |   1.00
0174 -      0.00 |    0.00 |     0.54 |   0.75
0175 -     22.01 |   99.86 |     0.92 |   0.97
0176 -     16.31 |  100.00 |     0.85 |   1.00
0177 -      0.00 |    0.00 |     0.47 |   0.74
0178 -      0.00 |    0.00 |     0.90 |   0.94
0179 -     33.13 |  100.00 |     0.88 |   1.00
0180 -      0.00 |    0.00 |     0.81 |   0.99
0181 -     40.37 |  100.00 |     0.90 |   1.00
0182 -     11.21 |   99.64 |     0.82 |   0.91
0183 -     85.60 |  100.00 |     0.97 |   1.00
0184 -      0.00 |  100.00 |     0.98 |   1.00
0185 -     14.78 |    0.00 |     0.58 |   1.00
0186 -      0.00 |   46.87 |     0.76 |   0.99
0187 -     93.39 |   77.29 |     0.89 |   1.00
0188 -      0.00 |    0.00 |     0.94 |   0.99
0189 -     51.68 |   66.15 |     0.90 |   0.98
0190 -     19.48 |  100.00 |     0.96 |   1.00
0191 -      6.11 |  100.00 |     0.98 |   1.00
0192 -      0.00 |  100.00 |     0.76 |   1.00
0193 -      0.00 |    0.00 |     0.82 |   0.85
0194 -     69.44 |  100.00 |     0.95 |   1.00
0195 -     90.85 |   95.36 |     0.95 |   0.99
0196 -      0.00 |   27.82 |     0.91 |   0.99
0197 -     51.18 |   39.48 |     0.88 |   1.00
0198 -     33.71 |    0.00 |     0.63 |   0.91
0199 -     16.58 |  100.00 |     0.96 |   1.00
0200 -     14.66 |  100.00 |     0.91 |   1.00
0201 -     63.58 |  100.00 |     0.86 |   1.00
0202 -      0.00 |    0.00 |     0.93 |   0.94
0203 -     18.91 |   74.87 |     0.92 |   0.96
0204 -      0.00 |    0.00 |     0.85 |   1.00
0205 -     86.36 |   91.62 |     0.96 |   0.98
0206 -      7.77 |   99.79 |     0.95 |   0.97
0207 -     54.34 |   84.10 |     0.98 |   0.98
0208 -      0.00 |  100.00 |     0.98 |   1.00
0209 -     58.19 |  100.00 |     0.93 |   1.00
0210 -     33.79 |  100.00 |     0.94 |   1.00
0211 -      9.33 |  100.00 |     0.86 |   1.00
0212 -     37.81 |   83.01 |     0.78 |   0.88
0213 -     46.48 |  100.00 |     0.87 |   1.00
0214 -     22.82 |   22.32 |     0.89 |   1.00
0215 -     82.38 |   99.83 |     0.95 |   0.98
0216 -      0.00 |  100.00 |     0.96 |   1.00
0217 -     62.23 |   38.70 |     0.96 |   1.00
0218 -      0.00 |   59.02 |     0.71 |   0.81
0219 -      0.00 |    0.00 |     0.93 |   1.00
0220 -     77.27 |   35.06 |     0.94 |   0.98
0221 -     50.04 |   57.79 |     0.98 |   0.99
0222 -      0.00 |    5.91 |     0.88 |   0.99
0223 -     55.25 |   52.35 |     0.94 |   0.99
0224 -     45.00 |   60.03 |     0.93 |   0.99
0225 -     10.08 |  100.00 |     0.86 |   1.00
0226 -     86.08 |  100.00 |     0.94 |   1.00
0227 -      7.56 |   96.49 |     0.96 |   0.99
0228 -     15.92 |   95.59 |     0.92 |   0.97
0229 -     50.79 |  100.00 |     0.51 |   1.00
0230 -     11.75 |  100.00 |     0.92 |   1.00
0231 -     57.78 |   74.43 |     0.91 |   1.00
0232 -      0.00 |   72.25 |     0.95 |   1.00
0233 -     18.78 |   15.00 |     0.93 |   1.00
0234 -     88.30 |  100.00 |     0.98 |   1.00
0235 -      0.00 |    0.00 |     0.94 |   0.99
0236 -     27.53 |   97.88 |     0.96 |   0.99
0237 -      8.53 |   66.07 |     0.88 |   0.95
0238 -     36.76 |   27.09 |     0.70 |   0.81
0239 -      0.00 |    0.00 |     0.34 |   0.65
0240 -     41.18 |  100.00 |     0.88 |   1.00
0241 -     13.92 |   71.17 |     0.98 |   1.00
0242 -      0.00 |    0.00 |     0.82 |   0.84
0243 -      0.00 |    0.00 |     0.96 |   0.98
0244 -     75.88 |  100.00 |     0.91 |   1.00
0245 -     58.88 |   97.52 |     0.83 |   1.00
0246 -      0.00 |  100.00 |     0.86 |   1.00
0247 -      0.00 |    0.00 |     0.93 |   0.97
0248 -     95.22 |  100.00 |     0.97 |   1.00
0249 -     16.29 |  100.00 |     0.98 |   1.00
0250 -      0.00 |    0.00 |     0.84 |   0.80
0251 -      0.00 |   99.86 |     0.96 |   0.99
0252 -     41.43 |   91.06 |     0.83 |   0.98
0253 -      3.09 |    0.00 |     0.81 |   1.00
0254 -      0.00 |    5.64 |     0.98 |   0.99
0255 -      6.74 |   27.20 |     0.59 |   0.76
0256 -      0.00 |    0.00 |     0.91 |   0.96
0257 -      0.00 |   93.76 |     0.86 |   0.99
0258 -     43.78 |  100.00 |     0.85 |   1.00
0259 -     63.65 |  100.00 |     0.88 |   1.00
0260 -     40.70 |  100.00 |     0.95 |   1.00
0261 -     28.34 |   10.95 |     0.97 |   0.99
0262 -     74.20 |   79.46 |     0.89 |   0.94
0263 -     38.93 |   99.79 |     0.86 |   0.97
0264 -     20.82 |   99.78 |     0.96 |   0.97
