==============================================
BLEU GOLD:                               53.80
BLEU IN:                                 59.97
ACC GOLD:                               0.0036
ACC IN:                                 0.0697
SIM GOLD:                               0.8373
SIM IN:                                 0.8667
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    8.08 |     0.72 |   0.72
0002 -     21.42 |   28.63 |     0.94 |   0.96
0003 -     29.50 |   70.07 |     0.75 |   0.79
0004 -      0.00 |    0.00 |     0.82 |   0.87
0005 -     64.88 |    0.00 |     0.94 |   0.95
0006 -      0.00 |    0.00 |     0.79 |   0.79
0007 -    100.00 |   84.59 |     1.00 |   0.97
0008 -     31.24 |  100.00 |     0.93 |   1.00
0009 -      3.70 |    3.79 |     0.96 |   0.98
0010 -      0.00 |    0.00 |     0.97 |   0.99
0011 -     40.21 |   99.36 |     0.89 |   0.94
0012 -     17.26 |   19.83 |     0.92 |   0.94
0013 -     52.34 |   32.61 |     0.91 |   0.93
0014 -      0.00 |    8.59 |     0.87 |   0.89
0015 -      0.00 |    0.00 |     0.81 |   0.85
0016 -     42.11 |   42.71 |     0.76 |   0.82
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -      0.00 |    6.48 |     0.72 |   0.73
0019 -     36.05 |   76.71 |     0.93 |   0.95
0020 -     52.54 |   23.68 |     0.96 |   0.96
0021 -     80.31 |   98.48 |     0.99 |   0.99
0022 -      0.00 |    0.00 |     0.75 |   0.79
0023 -     13.20 |   15.39 |     0.74 |   0.75
0024 -      0.00 |    0.00 |     0.86 |   0.89
0025 -     64.51 |   22.81 |     0.79 |   0.88
0026 -      0.00 |    0.00 |     0.95 |   0.96
0027 -      0.00 |    0.00 |     0.85 |   0.97
0028 -     33.86 |   35.98 |     0.97 |   1.00
0029 -      0.00 |    0.00 |     0.68 |   0.69
0030 -     29.81 |   30.66 |     0.64 |   0.67
0031 -      0.00 |    0.00 |     0.95 |   0.96
0032 -      7.39 |    5.56 |     0.86 |   0.85
0033 -      0.00 |    0.00 |     0.75 |   0.79
0034 -      9.76 |    0.00 |     0.87 |   0.91
0035 -      0.00 |    0.00 |     0.44 |   0.46
0036 -     19.59 |    0.00 |     0.87 |   0.91
0037 -     11.99 |   12.16 |     0.44 |   0.51
0038 -     30.34 |   91.47 |     0.89 |   0.86
0039 -     61.20 |   97.09 |     0.89 |   0.91
0040 -      4.25 |   11.51 |     0.96 |   0.97
0041 -      9.85 |    0.00 |     0.81 |   0.82
0042 -     29.16 |   36.69 |     0.62 |   0.68
0043 -     74.68 |    0.00 |     0.91 |   0.91
0044 -      0.00 |    0.00 |     0.72 |   0.74
0045 -     65.05 |   66.40 |     0.84 |   0.88
0046 -      0.00 |    0.00 |     0.83 |   0.88
0047 -     67.97 |  100.00 |     0.58 |   1.00
0048 -      0.00 |    0.00 |     0.83 |   0.85
0049 -     66.04 |   70.43 |     0.83 |   0.83
0050 -      0.00 |    0.00 |     0.82 |   0.85
0051 -      0.00 |    0.00 |     0.74 |   0.84
0052 -     30.70 |   15.23 |     0.90 |   0.93
0053 -     42.29 |   46.36 |     0.96 |   0.97
0054 -      0.00 |    0.00 |     0.79 |   0.82
0055 -     88.48 |   97.80 |     0.96 |   1.00
0056 -     83.12 |   98.79 |     0.94 |   0.98
0057 -     30.30 |   79.82 |     0.87 |   0.93
0058 -     43.71 |   48.33 |     0.79 |   0.81
0059 -      0.00 |    0.00 |     0.47 |   0.47
0060 -      0.00 |    0.00 |     0.86 |   0.87
0061 -     34.31 |   38.31 |     0.95 |   0.96
0062 -      0.00 |    0.00 |     0.66 |   0.73
0063 -     64.78 |  100.00 |     0.91 |   1.00
0064 -      0.00 |    0.00 |     0.76 |   0.77
0065 -     67.56 |  100.00 |     0.96 |   1.00
0066 -     65.95 |  100.00 |     0.98 |   1.00
0067 -      0.00 |    0.00 |     0.88 |   0.89
0068 -      0.00 |    0.00 |     0.72 |   0.69
0069 -      0.00 |   51.70 |     0.74 |   0.76
0070 -     17.26 |    0.00 |     0.93 |   0.94
0071 -      0.00 |    0.00 |     0.80 |   0.84
0072 -     20.90 |   92.57 |     0.81 |   0.82
0073 -      0.00 |   14.34 |     1.00 |   0.92
0074 -     63.97 |   68.20 |     0.81 |   0.84
0075 -     91.68 |   98.75 |     0.96 |   1.00
0076 -     10.24 |    9.25 |     0.95 |   0.96
0077 -      0.00 |    0.00 |     0.35 |   0.36
0078 -      0.00 |    0.00 |     0.78 |   0.82
0079 -     28.18 |   99.43 |     0.98 |   1.00
0080 -      0.00 |    0.00 |     0.63 |   0.71
0081 -      0.00 |    0.00 |     0.71 |   0.74
0082 -     46.47 |   78.95 |     0.88 |   0.90
0083 -      0.00 |    0.00 |     0.76 |   0.78
0084 -      0.00 |    0.00 |     0.85 |   0.90
0085 -      0.00 |    0.00 |     0.78 |   0.81
0086 -      0.00 |    0.00 |     0.60 |   0.65
0087 -      0.00 |   62.20 |     0.93 |   0.96
