==============================================
BLEU GOLD:                               59.96
BLEU IN:                                 80.79
ACC GOLD:                               0.0010
ACC IN:                                 0.2060
SIM GOLD:                               0.8718
SIM IN:                                 0.9549
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     87.11 |   95.99 |     0.96 |   0.99
0002 -     86.21 |   80.10 |     0.96 |   1.00
0003 -      0.00 |    0.00 |     0.81 |   0.98
0004 -     36.09 |   87.47 |     0.85 |   0.96
0005 -     26.85 |   29.04 |     1.00 |   0.96
0006 -      0.00 |    0.00 |     0.86 |   0.99
0007 -     16.33 |   16.54 |     0.78 |   0.82
0008 -      0.00 |   43.18 |     0.71 |   0.95
0009 -      0.00 |    0.00 |     0.59 |   0.76
0010 -     10.22 |  100.00 |     0.99 |   1.00
0011 -     99.17 |  100.00 |     0.87 |   1.00
0012 -     55.87 |   94.02 |     0.94 |   1.00
0013 -     36.02 |   33.42 |     0.92 |   0.96
0014 -      0.00 |    0.00 |     0.81 |   0.95
0015 -     49.97 |   49.72 |     0.90 |   0.93
0016 -     51.87 |   66.36 |     0.81 |   0.99
0017 -      0.00 |   98.43 |     0.61 |   0.96
0018 -      0.00 |    0.00 |     0.90 |   0.96
0019 -      0.00 |    0.00 |     0.94 |   0.97
0020 -     53.65 |   43.66 |     0.85 |   1.00
0021 -     42.95 |   44.30 |     0.87 |   0.89
0022 -      0.00 |    0.00 |     0.87 |   0.91
0023 -      9.45 |   99.33 |     0.90 |   0.97
0024 -     57.82 |   58.42 |     0.98 |   0.99
0025 -     19.85 |   20.55 |     0.88 |   0.92
0026 -     67.70 |   67.59 |     0.98 |   0.99
0027 -      0.00 |    6.20 |     0.86 |   0.93
0028 -      9.08 |    8.20 |     0.77 |   0.85
0029 -     59.15 |   99.67 |     0.89 |   0.95
0030 -      0.00 |   57.29 |     0.95 |   0.94
0031 -      6.95 |    0.00 |     0.73 |   0.78
0032 -     18.37 |   84.92 |     0.83 |   0.91
0033 -     28.82 |   77.39 |     0.87 |   1.00
0034 -      0.00 |    0.00 |     0.96 |   0.98
0035 -     50.70 |   95.84 |     0.87 |   0.99
0036 -      0.00 |    0.00 |     0.97 |   0.98
0037 -      8.61 |   97.21 |     0.87 |   1.00
0038 -     22.34 |   82.52 |     0.95 |   1.00
0039 -     19.07 |   98.55 |     0.90 |   0.94
0040 -     59.35 |   42.90 |     0.90 |   1.00
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -     76.19 |   96.13 |     0.91 |   1.00
0043 -      5.75 |   96.31 |     0.93 |   0.96
0044 -     99.78 |  100.00 |     0.92 |   1.00
0045 -     50.67 |   93.32 |     0.92 |   0.99
0046 -      0.00 |    0.00 |     0.98 |   1.00
0047 -     24.64 |  100.00 |     0.93 |   1.00
0048 -     25.78 |   19.43 |     0.91 |   0.98
0049 -     60.20 |   97.90 |     0.98 |   1.00
0050 -     40.49 |   57.28 |     0.90 |   0.95
0051 -      0.00 |    0.00 |     0.83 |   0.90
0052 -     67.65 |   99.87 |     0.95 |   0.99
0053 -     89.22 |   99.85 |     0.92 |   0.99
0054 -     28.74 |   13.86 |     0.84 |   0.96
0055 -      0.00 |    0.00 |     0.90 |   0.84
0056 -     10.26 |   10.34 |     0.89 |   0.91
0057 -      4.18 |    3.68 |     0.95 |   0.94
0058 -      0.00 |    0.00 |     0.87 |   0.89
0059 -      0.00 |  100.00 |     0.83 |   1.00
0060 -      0.00 |    0.00 |     0.92 |   0.97
0061 -      0.00 |    9.81 |     0.96 |   0.97
0062 -      0.00 |    0.00 |     0.95 |   0.98
0063 -     59.37 |   39.77 |     0.84 |   0.88
0064 -      0.00 |    0.00 |     0.86 |   0.89
0065 -      6.47 |    6.39 |     0.90 |   0.93
0066 -     38.69 |  100.00 |     0.93 |   1.00
0067 -     63.21 |   95.98 |     0.98 |   0.99
0068 -     47.95 |  100.00 |     0.73 |   1.00
0069 -      0.00 |  100.00 |     0.93 |   1.00
0070 -      0.00 |    0.00 |     0.89 |   0.93
0071 -      6.74 |    8.76 |     0.95 |   0.99
