==============================================
BLEU GOLD:                               71.86
BLEU IN:                                 80.38
ACC GOLD:                               0.0024
ACC IN:                                 0.2308
SIM GOLD:                               0.9207
SIM IN:                                 0.9558
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.94 |   0.98
0002 -      0.00 |    0.00 |     0.78 |   0.79
0003 -     26.24 |   80.81 |     0.94 |   0.95
0004 -      0.00 |    0.00 |     0.86 |   0.91
0005 -     24.93 |  100.00 |     0.97 |   1.00
0006 -     94.51 |  100.00 |     1.00 |   1.00
0007 -     41.15 |   58.54 |     0.75 |   0.78
0008 -     31.24 |  100.00 |     0.93 |   1.00
0009 -      4.73 |    4.80 |     0.97 |   0.99
0010 -      0.00 |    0.00 |     0.97 |   0.99
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     47.81 |   53.19 |     0.94 |   0.96
0013 -     33.91 |   34.53 |     0.94 |   0.96
0014 -     54.04 |   81.08 |     0.96 |   0.98
0015 -     68.81 |   60.92 |     0.80 |   0.78
0016 -     90.87 |  100.00 |     0.96 |   1.00
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -      0.00 |    0.00 |     0.78 |   0.80
0019 -     85.18 |   50.19 |     0.97 |   0.99
0020 -     53.54 |   54.42 |     0.94 |   0.95
0021 -     20.62 |    0.00 |     0.99 |   0.99
0022 -      0.00 |    0.00 |     0.94 |   0.99
0023 -     14.37 |   16.86 |     0.97 |   0.99
0024 -     38.32 |    9.23 |     0.71 |   0.73
0025 -      8.17 |    7.65 |     0.83 |   0.96
0026 -      0.00 |    0.00 |     0.99 |   1.00
0027 -      0.00 |    0.00 |     0.89 |   0.99
0028 -     35.13 |   34.63 |     0.96 |   0.99
0029 -     81.29 |   15.24 |     0.94 |   0.98
0030 -     51.20 |   64.60 |     0.92 |   0.94
0031 -      0.00 |    0.00 |     0.98 |   0.99
0032 -      0.00 |    0.00 |     0.98 |   0.99
0033 -      0.00 |    0.00 |     0.87 |   0.90
0034 -     61.17 |   46.24 |     0.93 |   0.96
0035 -      0.00 |    0.00 |     0.33 |   0.36
0036 -      0.00 |  100.00 |     0.95 |   1.00
