==============================================
BLEU GOLD:                               42.12
BLEU IN:                                 55.70
ACC GOLD:                               0.0000
ACC IN:                                 0.0390
SIM GOLD:                               0.7748
SIM IN:                                 0.8423
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.79 |   0.86
0002 -      0.00 |    0.00 |     0.83 |   0.85
0003 -     80.59 |   85.82 |     0.78 |   0.94
0004 -      0.00 |    0.00 |     0.85 |   0.94
0005 -     89.57 |   51.69 |     0.96 |   0.91
0006 -      0.00 |    0.00 |     0.73 |   0.84
0007 -      6.28 |    0.00 |     0.58 |   0.68
0008 -      0.00 |    0.00 |     0.20 |   0.33
0009 -      0.00 |    0.00 |     0.52 |   0.60
0010 -      0.00 |   14.57 |     0.85 |   0.88
0011 -      9.94 |    7.81 |     0.76 |   0.90
0012 -     51.41 |   88.03 |     0.94 |   0.99
0013 -      0.00 |    0.00 |     0.84 |   0.89
0014 -      0.00 |   10.56 |     0.77 |   0.97
0015 -      0.00 |    0.00 |     0.76 |   0.80
0016 -     51.13 |   82.36 |     0.69 |   0.86
0017 -     20.84 |   49.61 |     0.46 |   0.73
0018 -     61.03 |    9.13 |     0.93 |   0.94
0019 -     84.69 |    0.00 |     0.95 |   0.99
0020 -     53.34 |   43.42 |     0.85 |   1.00
0021 -     23.93 |   27.74 |     0.79 |   0.78
0022 -      0.00 |   96.72 |     0.89 |   0.94
0023 -     31.14 |   17.43 |     0.81 |   0.88
0024 -     30.47 |   32.13 |     0.95 |   0.95
0025 -     33.36 |   34.77 |     0.83 |   0.85
0026 -     10.05 |   10.05 |     0.88 |   0.89
0027 -      9.90 |    6.11 |     0.79 |   0.83
0028 -     66.07 |   63.69 |     0.92 |   1.00
0029 -     59.15 |  100.00 |     0.95 |   1.00
0030 -     29.03 |   38.43 |     0.87 |   0.87
0031 -      0.00 |    0.00 |     0.76 |   0.83
0032 -     18.37 |   82.02 |     0.76 |   0.83
0033 -     20.48 |   21.88 |     0.90 |   0.94
0034 -     25.35 |   85.66 |     0.94 |   0.95
0035 -     44.66 |   39.48 |     0.75 |   0.79
0036 -      4.85 |   33.20 |     0.89 |   0.92
0037 -      7.19 |   12.93 |     0.81 |   0.91
0038 -     22.18 |   80.96 |     0.94 |   0.99
0039 -      0.00 |    0.00 |     0.93 |   0.99
0040 -      0.00 |    0.00 |     0.81 |   0.87
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -     57.94 |   46.91 |     0.89 |   0.96
0043 -      0.00 |   10.73 |     0.81 |   0.81
0044 -      0.00 |    0.00 |     0.69 |   0.85
0045 -     40.21 |   40.34 |     0.82 |   0.87
0046 -     13.50 |   13.47 |     0.63 |   0.67
0047 -      0.00 |    0.00 |     0.76 |   0.82
0048 -     44.41 |   18.76 |     0.85 |   0.91
0049 -     15.01 |   15.01 |     0.49 |   0.49
0050 -     44.06 |   56.65 |     0.73 |   0.78
0051 -      7.64 |    7.39 |     0.67 |   0.70
0052 -      0.00 |    0.00 |     0.70 |   0.72
0053 -     36.28 |   31.66 |     0.75 |   0.83
0054 -      0.00 |    0.00 |     0.56 |   0.55
0055 -      4.22 |    0.00 |     0.86 |   0.79
0056 -      0.00 |    0.00 |     0.84 |   0.84
0057 -      0.00 |    0.00 |     0.91 |   0.95
0058 -      0.00 |    0.00 |     0.62 |   0.60
0059 -      0.00 |    0.00 |     0.05 |   0.08
0060 -      0.00 |    0.00 |     0.66 |   0.80
0061 -     90.01 |   14.00 |     0.99 |   0.99
0062 -     49.00 |   51.63 |     0.90 |   0.95
0063 -      0.00 |    0.00 |     0.73 |   0.72
0064 -      0.00 |    0.00 |     0.66 |   0.75
0065 -      5.49 |    6.58 |     0.89 |   0.92
0066 -     26.35 |   88.75 |     0.88 |   0.96
0067 -      0.00 |    0.00 |     0.98 |   0.98
0068 -      0.00 |    0.00 |     0.61 |   0.55
0069 -      0.00 |   17.85 |     0.73 |   0.79
0070 -      0.00 |    0.00 |     0.75 |   0.78
0071 -      0.00 |    0.00 |     0.93 |   0.96
0072 -     28.96 |   33.51 |     0.83 |   0.99
0073 -     66.64 |   45.18 |     0.84 |   0.96
0074 -      0.00 |    0.00 |     0.69 |   0.77
0075 -     23.29 |   41.96 |     0.77 |   0.78
0076 -     11.39 |   10.26 |     0.60 |   0.82
0077 -     20.36 |   19.76 |     0.61 |   0.60
0078 -      0.00 |    0.00 |     0.65 |   0.77
0079 -      0.00 |   22.22 |     0.43 |   0.52
0080 -      6.68 |   13.65 |     0.91 |   0.97
0081 -     30.77 |   32.30 |     0.79 |   0.81
0082 -      0.00 |   46.99 |     0.77 |   0.88
0083 -     31.04 |    0.00 |     0.75 |   0.76
0084 -     52.71 |   64.33 |     0.83 |   0.94
0085 -      0.00 |    0.00 |     0.15 |   0.08
0086 -      0.00 |   44.52 |     0.84 |   0.92
0087 -      0.00 |    0.00 |     0.77 |   0.83
0088 -      0.00 |    0.00 |     0.80 |   0.83
0089 -      6.71 |    6.40 |     0.83 |   0.84
0090 -     19.42 |   20.84 |     0.74 |   0.87
0091 -     15.60 |    0.00 |     0.52 |   0.56
0092 -     59.79 |   82.19 |     0.95 |   0.99
0093 -      0.00 |    0.00 |     0.76 |   0.89
0094 -      8.82 |    0.00 |     0.67 |   0.80
0095 -     48.82 |   43.11 |     0.72 |   0.79
0096 -      0.00 |   14.71 |     0.65 |   0.73
0097 -     32.06 |   34.33 |     0.56 |   0.50
0098 -     49.83 |   62.83 |     0.83 |   0.91
0099 -     84.36 |   86.47 |     0.86 |   0.99
0100 -     30.33 |   28.90 |     0.41 |   0.71
0101 -      0.00 |    0.00 |     0.81 |   0.99
0102 -      0.00 |    0.00 |     0.75 |   0.80
0103 -      0.00 |    0.00 |     0.49 |   0.49
0104 -     40.99 |   67.35 |     0.89 |   0.93
0105 -     49.44 |   46.30 |     0.90 |   0.97
0106 -      0.00 |    0.00 |     0.87 |   0.88
0107 -      5.81 |    0.00 |     0.81 |   0.80
0108 -      0.00 |    0.00 |     0.67 |   0.68
0109 -     97.14 |   87.14 |     0.88 |   0.94
0110 -     11.22 |   57.71 |     0.82 |   0.92
0111 -     53.38 |   55.01 |     0.94 |   0.98
0112 -     42.12 |   45.44 |     0.91 |   0.97
0113 -      0.00 |    0.00 |     0.81 |   0.82
0114 -      0.00 |    0.00 |     0.73 |   0.72
0115 -     55.05 |   87.89 |     0.97 |   0.97
0116 -     55.67 |   83.42 |     0.85 |   0.96
0117 -     14.81 |   35.72 |     0.88 |   0.88
0118 -     14.29 |   15.05 |     0.92 |   0.98
0119 -     51.43 |   51.00 |     0.84 |   0.91
0120 -      0.00 |    0.00 |     0.83 |   0.87
0121 -      0.00 |    0.00 |     0.45 |   0.65
0122 -     21.38 |   19.33 |     0.85 |   0.89
0123 -      0.00 |    0.00 |     0.80 |   0.86
0124 -      0.00 |    0.00 |     0.58 |   0.97
0125 -      0.00 |   20.25 |     0.81 |   0.89
0126 -      0.00 |    0.00 |     0.84 |   0.85
0127 -      0.00 |   57.96 |     0.94 |   0.97
0128 -      0.00 |    0.00 |     0.54 |   0.49
0129 -     11.09 |   47.11 |     0.74 |   0.93
0130 -     59.77 |   78.84 |     0.87 |   0.94
0131 -     54.98 |   95.18 |     0.91 |   0.96
0132 -      0.00 |    0.00 |     0.65 |   0.71
0133 -      0.00 |    0.00 |     0.73 |   0.79
0134 -     35.30 |   35.73 |     0.89 |   0.92
0135 -     38.18 |   39.27 |     0.88 |   0.91
0136 -      0.00 |    0.00 |     0.73 |   0.75
0137 -      0.00 |    0.00 |     0.79 |   0.78
