==============================================
BLEU GOLD:                               50.21
BLEU IN:                                 55.80
ACC GOLD:                               0.0036
ACC IN:                                 0.0601
SIM GOLD:                               0.8121
SIM IN:                                 0.8406
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     56.43 |   81.67 |     0.90 |   0.93
0002 -      0.00 |    0.00 |     0.61 |   0.60
0003 -     26.14 |   80.59 |     0.95 |   0.97
0004 -      0.00 |    0.00 |     0.75 |   0.75
0005 -     26.13 |   84.43 |     0.97 |   0.99
0006 -      0.00 |    0.00 |     0.83 |   0.83
0007 -     83.35 |   97.89 |     0.95 |   0.97
0008 -     35.51 |    0.00 |     0.80 |   0.83
0009 -      0.00 |    0.00 |     0.91 |   0.93
0010 -      0.00 |    0.00 |     0.93 |   0.95
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     52.01 |   49.88 |     0.82 |   0.84
0013 -     18.98 |   19.29 |     0.94 |   0.96
0014 -      0.00 |    0.00 |     0.93 |   0.94
0015 -      0.00 |    0.00 |     0.57 |   0.59
0016 -      0.00 |    0.00 |     0.65 |   0.69
0017 -     12.33 |   14.40 |     0.70 |   0.77
0018 -      0.00 |    0.00 |     0.46 |   0.47
0019 -     32.19 |   29.78 |     0.92 |   0.90
0020 -      0.00 |    0.00 |     0.70 |   0.71
0021 -      0.00 |    7.47 |     0.41 |   0.44
0022 -     92.59 |  100.00 |     0.96 |   1.00
0023 -      0.00 |    0.00 |     0.94 |   0.98
0024 -     14.05 |   13.10 |     0.70 |   0.73
0025 -      7.25 |    5.64 |     0.53 |   0.62
0026 -      0.00 |   20.20 |     0.93 |   0.94
0027 -      4.95 |    0.00 |     0.89 |   0.99
0028 -      6.16 |    6.02 |     0.87 |   0.89
0029 -     35.25 |   41.46 |     0.76 |   0.79
0030 -      0.00 |    0.00 |     0.74 |   0.73
0031 -      0.00 |   11.61 |     0.82 |   0.83
0032 -      8.71 |   17.68 |     0.97 |   0.98
0033 -      0.00 |    0.00 |     0.73 |   0.75
0034 -     29.89 |   36.80 |     0.78 |   0.83
0035 -      0.00 |   14.57 |     0.65 |   0.67
0036 -      0.00 |    0.00 |     0.86 |   0.88
0037 -     12.34 |  100.00 |     0.92 |   1.00
0038 -     31.57 |   27.65 |     0.92 |   0.89
0039 -     63.14 |  100.00 |     0.95 |   0.96
0040 -      4.45 |    4.28 |     0.97 |   0.98
0041 -     20.92 |   21.24 |     0.87 |   0.90
0042 -     37.83 |   79.87 |     0.78 |   0.84
0043 -      0.00 |    0.00 |     0.52 |   0.51
0044 -      0.00 |    0.00 |     0.90 |   0.93
0045 -     14.21 |   14.49 |     0.65 |   0.69
0046 -      8.94 |   10.16 |     0.84 |   0.87
0047 -     65.61 |   95.64 |     0.54 |   0.97
0048 -      0.00 |    0.00 |     0.78 |   0.80
0049 -     50.75 |   79.11 |     0.82 |   0.85
0050 -     39.84 |   32.29 |     0.85 |   0.87
0051 -      0.00 |    0.00 |     0.57 |   0.54
0052 -      0.00 |    0.00 |     0.84 |   0.86
0053 -     36.75 |   34.86 |     0.95 |   0.95
0054 -      0.00 |    0.00 |     0.94 |   0.93
0055 -     65.67 |   76.29 |     0.87 |   0.91
0056 -      0.00 |    0.00 |     0.83 |   0.84
0057 -      0.00 |    0.00 |     0.84 |   0.90
0058 -      0.00 |    0.00 |     0.57 |   0.62
0059 -      0.00 |    0.00 |     0.76 |   0.76
0060 -      0.00 |    0.00 |     0.95 |   0.96
0061 -     58.60 |   62.27 |     0.91 |   0.92
0062 -      0.00 |    0.00 |     0.62 |   0.63
0063 -     27.32 |   27.03 |     0.83 |   0.93
0064 -      0.00 |    0.00 |     0.59 |   0.60
0065 -     66.48 |   89.70 |     0.95 |   0.99
0066 -     51.56 |   50.33 |     0.92 |   0.94
0067 -      0.00 |    0.00 |     0.86 |   0.85
0068 -      0.00 |    0.00 |     0.83 |   0.80
0069 -      0.00 |   95.58 |     0.92 |   0.95
0070 -      0.00 |    0.00 |     0.71 |   0.74
0071 -      6.12 |   20.08 |     0.73 |   0.76
0072 -     25.91 |   25.43 |     0.89 |   0.90
0073 -      0.00 |  100.00 |     0.92 |   1.00
0074 -     72.82 |   72.96 |     0.80 |   0.83
0075 -     91.21 |   96.81 |     0.92 |   0.96
0076 -     16.36 |   88.29 |     0.97 |   0.98
0077 -      0.00 |    0.00 |     0.91 |   0.94
0078 -     10.10 |    0.00 |     0.79 |   0.86
0079 -     16.65 |   19.71 |     0.95 |   0.97
0080 -     38.58 |   39.21 |     0.86 |   0.86
0081 -     18.38 |   19.07 |     0.84 |   0.88
0082 -      0.00 |    0.00 |     0.90 |   0.92
0083 -      0.00 |    0.00 |     0.90 |   0.98
0084 -     33.43 |   32.42 |     0.59 |   0.65
0085 -      0.00 |   13.43 |     0.25 |   0.29
0086 -     21.96 |   21.31 |     0.46 |   0.54
0087 -      0.00 |    0.00 |     0.64 |   0.68
0088 -      0.00 |    0.00 |     0.90 |   0.91
0089 -      0.00 |    0.00 |     0.76 |   0.78
0090 -      0.00 |    0.00 |     0.81 |   0.86
0091 -      0.00 |    0.00 |     0.86 |   0.80
0092 -      0.00 |    0.00 |     0.55 |   0.51
0093 -     85.94 |   92.30 |     0.91 |   0.98
0094 -     70.19 |  100.00 |     0.54 |   1.00
0095 -      0.00 |    0.00 |     0.49 |   0.49
0096 -      0.00 |    0.00 |     0.85 |   0.82
0097 -      0.00 |    0.00 |     0.61 |   0.62
0098 -     63.07 |   62.02 |     0.95 |   0.99
0099 -     11.79 |   11.79 |     0.68 |   0.69
0100 -      0.00 |    0.00 |     0.69 |   0.68
0101 -     42.73 |   38.41 |     0.82 |   0.83
0102 -      0.00 |    0.00 |     0.75 |   0.73
0103 -      5.58 |    5.28 |     0.79 |   0.84
0104 -     12.45 |   12.19 |     0.94 |   0.95
0105 -     58.47 |   26.21 |     0.98 |   1.00
0106 -     30.66 |   25.72 |     0.90 |   0.93
0107 -      0.00 |    0.00 |     0.86 |   0.87
0108 -     82.89 |   96.82 |     0.77 |   0.99
0109 -      8.35 |    0.00 |     0.86 |   0.88
0110 -     88.62 |   86.63 |     0.92 |   0.93
0111 -     13.55 |   28.54 |     0.89 |   0.85
0112 -      0.00 |    0.00 |     0.80 |   0.84
0113 -      0.00 |    0.00 |     0.77 |   0.81
0114 -     21.80 |   99.44 |     0.93 |   0.94
0115 -      8.13 |    0.00 |     0.69 |   0.71
0116 -     58.92 |   79.92 |     0.83 |   0.87
0117 -      0.00 |    0.00 |     0.77 |   0.78
0118 -      0.00 |    0.00 |     0.82 |   0.84
0119 -      0.00 |    0.00 |     0.57 |   0.65
0120 -     28.80 |   28.54 |     0.64 |   0.75
0121 -      0.00 |    3.53 |     0.86 |   0.89
0122 -     96.75 |  100.00 |     0.94 |   0.99
0123 -      0.00 |    0.00 |     0.55 |   0.60
0124 -      0.00 |    0.00 |     0.96 |   0.98
0125 -     35.08 |   41.87 |     0.89 |   0.89
0126 -     12.63 |   12.74 |     0.87 |   0.90
0127 -      0.00 |    0.00 |     0.76 |   0.72
0128 -     15.83 |   47.35 |     0.72 |   0.69
0129 -      0.00 |    0.00 |     0.71 |   0.72
0130 -      0.00 |    0.00 |     0.80 |   0.82
0131 -      0.00 |   94.74 |     0.85 |   0.87
0132 -     13.75 |   33.99 |     0.86 |   0.93
0133 -     37.39 |   36.81 |     0.88 |   0.91
0134 -      7.61 |    8.29 |     0.81 |   0.85
0135 -     43.35 |   80.08 |     0.95 |   0.96
0136 -      0.00 |    0.00 |     0.77 |   0.91
0137 -     11.29 |   10.41 |     0.92 |   0.94
0138 -     25.44 |   38.38 |     0.81 |   0.88
0139 -      0.00 |    0.00 |     0.86 |   0.84
0140 -     75.75 |  100.00 |     0.90 |   1.00
0141 -      6.84 |   18.84 |     0.89 |   0.88
0142 -      0.00 |    0.00 |     0.88 |   0.88
0143 -      0.00 |    0.00 |     0.79 |   0.79
0144 -     70.51 |   80.44 |     0.95 |   0.96
0145 -      0.00 |    0.00 |     0.52 |   0.52
0146 -     21.31 |   21.75 |     0.71 |   0.74
0147 -      0.00 |    0.00 |     0.68 |   0.67
0148 -      7.59 |   69.72 |     0.94 |   0.93
0149 -      0.00 |    0.00 |     0.73 |   0.76
0150 -      8.22 |   18.82 |     0.96 |   0.97
0151 -     67.23 |    0.00 |     0.90 |   0.91
0152 -      0.00 |    0.00 |     0.79 |   0.84
0153 -     17.21 |   20.88 |     0.82 |   0.92
0154 -     26.54 |   34.46 |     0.88 |   0.86
0155 -      0.00 |    0.00 |     0.67 |   0.67
0156 -     42.68 |   34.17 |     0.94 |   0.93
0157 -     11.63 |   11.37 |     0.88 |   0.90
0158 -     84.56 |  100.00 |     0.97 |   1.00
0159 -      0.00 |    0.00 |     0.44 |   0.46
0160 -      0.00 |    0.00 |     0.64 |   0.63
0161 -     12.01 |   12.01 |     0.94 |   0.99
0162 -      0.00 |    0.00 |     0.95 |   0.96
0163 -      0.00 |    0.00 |     0.45 |   0.45
0164 -      0.00 |    0.00 |     0.91 |   0.92
0165 -     73.21 |   96.76 |     0.92 |   0.94
0166 -     33.34 |   34.14 |     0.95 |   0.95
0167 -      0.00 |    0.00 |     0.56 |   0.67
0168 -     52.52 |   95.83 |     0.98 |   0.98
0169 -      0.00 |    0.00 |     0.57 |   0.57
0170 -      0.00 |    0.00 |     0.85 |   0.88
0171 -     39.09 |    0.00 |     0.77 |   0.72
0172 -     51.74 |   52.01 |     0.94 |   0.94
0173 -     20.65 |   20.79 |     0.74 |   0.72
0174 -      0.00 |    0.00 |     0.49 |   0.52
0175 -      0.00 |    0.00 |     0.58 |   0.63
0176 -     80.41 |   84.17 |     0.88 |   0.90
0177 -     57.48 |   56.69 |     0.91 |   0.91
0178 -     32.44 |   28.58 |     0.87 |   0.97
0179 -    100.00 |   81.03 |     1.00 |   0.91
0180 -      0.00 |    0.00 |     0.81 |   0.88
0181 -      0.00 |    0.00 |     0.89 |   0.91
0182 -      0.00 |    0.00 |     0.73 |   0.73
0183 -     12.67 |   10.99 |     0.66 |   0.67
0184 -      5.98 |   40.04 |     0.91 |   0.94
0185 -      0.00 |    0.00 |     0.70 |   0.74
0186 -      0.00 |    0.00 |     0.84 |   0.85
0187 -     22.12 |   71.38 |     0.52 |   0.58
0188 -     76.31 |  100.00 |     0.95 |   1.00
0189 -     44.68 |   59.77 |     0.73 |   0.88
0190 -      0.00 |   74.10 |     0.79 |   0.77
0191 -     21.78 |   91.00 |     0.93 |   0.99
0192 -      0.00 |    0.00 |     0.59 |   0.66
0193 -      0.00 |    0.00 |     0.64 |   0.67
0194 -      7.16 |    7.10 |     0.88 |   0.90
0195 -     66.95 |  100.00 |     0.99 |   1.00
0196 -      0.00 |    0.00 |     0.92 |   0.94
0197 -     27.99 |   29.77 |     0.60 |   0.56
0198 -     83.80 |   97.03 |     0.95 |   0.99
0199 -     40.57 |   40.12 |     0.89 |   0.96
0200 -      0.00 |    0.00 |     0.78 |   0.80
0201 -     14.46 |   13.31 |     0.81 |   0.81
0202 -     12.64 |   11.17 |     0.91 |   0.93
0203 -      0.00 |    0.00 |     0.66 |   0.71
0204 -     28.07 |   17.73 |     0.91 |   0.90
0205 -     68.07 |   69.75 |     0.93 |   0.98
0206 -     26.01 |   32.06 |     0.82 |   0.82
0207 -      0.00 |    0.00 |     0.76 |   0.77
0208 -     46.70 |   42.28 |     0.82 |   0.78
0209 -     11.70 |   12.22 |     0.82 |   0.85
0210 -     14.41 |   24.37 |     0.98 |   0.97
0211 -     13.80 |   14.99 |     0.84 |   0.87
0212 -      0.00 |    0.00 |     0.79 |   0.84
0213 -     61.83 |    0.00 |     0.93 |   0.95
0214 -      5.69 |   27.42 |     0.82 |   0.87
0215 -      0.00 |    0.00 |     0.87 |   0.93
0216 -     30.56 |   36.83 |     0.96 |   0.98
0217 -      0.00 |    0.00 |     0.82 |   0.97
0218 -     18.21 |    0.00 |     0.94 |   0.96
0219 -     18.06 |   58.50 |     0.84 |   0.81
0220 -     40.88 |   47.91 |     0.86 |   0.94
0221 -      0.00 |    0.00 |     0.65 |   0.75
0222 -      0.00 |    0.00 |     0.26 |   0.26
0223 -      7.80 |    0.00 |     0.53 |   0.53
0224 -      0.00 |    0.00 |     0.86 |   0.87
0225 -     44.04 |   86.95 |     0.74 |   0.78
0226 -     67.75 |  100.00 |     0.96 |   1.00
0227 -      0.00 |    0.00 |     0.70 |   0.68
0228 -      0.00 |    0.00 |     0.78 |   0.82
0229 -      0.00 |    0.00 |     0.74 |   0.76
0230 -      0.00 |    0.00 |     0.71 |   0.75
0231 -      0.00 |   16.50 |     0.89 |   0.88
0232 -     11.69 |  100.00 |     0.97 |   1.00
0233 -     46.17 |   63.38 |     0.83 |   0.87
0234 -      0.00 |    4.57 |     0.78 |   0.78
0235 -      0.00 |    0.00 |     0.70 |   0.69
0236 -      0.00 |   98.29 |     0.63 |   0.68
0237 -      0.00 |    0.00 |     0.92 |   0.94
0238 -     66.52 |   90.26 |     0.91 |   0.93
0239 -      0.00 |    0.00 |     0.84 |   0.88
0240 -      9.41 |   57.59 |     0.90 |   0.92
0241 -     37.18 |   79.89 |     0.94 |   0.96
0242 -     19.36 |   86.96 |     0.99 |   1.00
0243 -     47.56 |   72.55 |     0.84 |   0.92
0244 -     10.46 |    8.16 |     0.74 |   0.74
0245 -      0.00 |   41.95 |     0.89 |   0.90
0246 -     13.90 |   16.25 |     0.60 |   0.60
0247 -      7.67 |    7.63 |     0.98 |   0.99
0248 -      0.00 |    0.00 |     0.47 |   0.46
0249 -      0.00 |    0.00 |     0.49 |   0.60
0250 -      0.00 |   13.77 |     0.87 |   0.88
0251 -     29.39 |   29.59 |     0.87 |   0.93
0252 -     12.31 |    0.00 |     0.82 |   0.84
0253 -      0.00 |    0.00 |     0.86 |   0.90
0254 -     36.92 |   47.17 |     0.87 |   0.91
0255 -     92.82 |   12.80 |     0.95 |   1.00
0256 -      9.37 |   87.59 |     0.97 |   0.99
0257 -      0.00 |    0.00 |     0.95 |   0.95
0258 -      0.00 |    0.00 |     0.62 |   0.64
0259 -     35.88 |   33.86 |     0.83 |   0.89
0260 -     22.76 |   23.88 |     0.85 |   1.00
0261 -      0.00 |    0.00 |     0.52 |   0.52
0262 -     21.72 |    9.45 |     0.85 |   0.85
0263 -     55.07 |  100.00 |     0.84 |   1.00
0264 -     17.96 |   90.10 |     0.78 |   0.87
0265 -      0.00 |    0.00 |     0.78 |   0.82
0266 -     63.86 |  100.00 |     0.95 |   1.00
0267 -     74.68 |    0.00 |     0.92 |   0.94
0268 -     39.09 |   39.09 |     0.87 |   0.96
0269 -      0.00 |    0.00 |     0.88 |   0.89
0270 -     45.53 |  100.00 |     0.96 |   1.00
0271 -      0.00 |    0.00 |     0.82 |   0.80
0272 -      0.00 |    0.00 |     0.51 |   0.56
0273 -      9.56 |   26.96 |     0.92 |   0.98
0274 -      0.00 |    0.00 |     0.67 |   0.69
0275 -     13.25 |   13.25 |     0.89 |   0.89
0276 -     11.99 |    0.00 |     0.90 |   0.92
0277 -     27.25 |   30.87 |     0.86 |   0.88
0278 -     24.42 |   85.90 |     0.83 |   0.92
0279 -     27.80 |   30.53 |     0.84 |   0.84
0280 -     26.21 |   24.73 |     0.95 |   0.96
0281 -      0.00 |    0.00 |     0.95 |   0.96
0282 -     19.32 |   33.34 |     0.78 |   0.81
0283 -     49.02 |  100.00 |     0.98 |   1.00
0284 -      0.00 |    0.00 |     0.85 |   0.87
0285 -     18.63 |   16.83 |     0.85 |   0.86
0286 -     11.96 |   11.47 |     0.61 |   0.60
0287 -     38.90 |   49.96 |     0.88 |   0.90
0288 -     23.32 |    0.00 |     0.62 |   0.65
0289 -      0.00 |    0.00 |     0.75 |   0.76
0290 -     65.20 |   90.68 |     0.95 |   0.97
0291 -     45.67 |  100.00 |     0.87 |   1.00
0292 -      0.00 |    0.00 |     0.81 |   0.81
0293 -     39.19 |   78.58 |     0.90 |   0.93
0294 -      6.47 |    6.19 |     0.81 |   0.81
0295 -     88.80 |   23.92 |     0.91 |   1.00
0296 -     91.69 |   96.31 |     0.98 |   1.00
0297 -      0.00 |    0.00 |     0.85 |   0.87
0298 -      0.00 |    0.00 |     0.90 |   0.92
0299 -     23.12 |   48.74 |     0.94 |   0.95
0300 -      0.00 |    0.00 |     0.87 |   0.88
0301 -     24.00 |   38.11 |     0.81 |   0.88
0302 -      0.00 |    0.00 |     0.71 |   0.71
0303 -     33.30 |   33.17 |     0.86 |   0.89
0304 -      9.99 |    0.00 |     0.62 |   0.60
0305 -     16.46 |   15.66 |     0.83 |   0.85
0306 -      0.00 |    0.00 |     0.65 |   0.66
0307 -     24.26 |   99.17 |     0.87 |   0.94
0308 -     72.06 |   35.38 |     0.92 |   0.94
0309 -     32.54 |  100.00 |     0.98 |   1.00
0310 -      0.00 |    0.00 |     0.72 |   0.71
0311 -     65.27 |  100.00 |     0.99 |   1.00
0312 -      0.00 |    0.00 |     0.85 |   0.86
0313 -     36.80 |   37.93 |     0.86 |   0.82
0314 -      0.00 |    0.00 |     0.75 |   0.79
0315 -     84.06 |   99.68 |     0.88 |   0.89
0316 -      0.00 |    0.00 |     0.85 |   0.87
0317 -      0.00 |    0.00 |     0.91 |   0.92
0318 -     61.58 |   99.58 |     0.84 |   0.95
0319 -      0.00 |    0.00 |     0.90 |   0.92
0320 -      0.00 |    0.00 |     0.93 |   0.95
0321 -     16.62 |   56.96 |     0.79 |   0.79
0322 -     37.12 |   36.51 |     0.79 |   0.79
0323 -      0.00 |    8.36 |     0.80 |   0.80
0324 -     19.17 |   21.65 |     0.64 |   0.72
0325 -      0.00 |    0.00 |     0.27 |   0.30
0326 -     24.09 |   23.88 |     0.96 |   0.98
0327 -     44.28 |   50.57 |     0.92 |   0.94
0328 -     64.63 |   30.77 |     0.95 |   0.96
0329 -     19.59 |   19.00 |     0.90 |   0.95
0330 -     74.42 |   73.53 |     0.78 |   0.90
0331 -     11.81 |   43.81 |     0.47 |   0.53
0332 -     26.82 |   43.10 |     0.89 |   0.91
0333 -     19.29 |   79.03 |     0.87 |   0.92
0334 -      9.89 |   27.29 |     0.84 |   0.87
0335 -      0.00 |    0.00 |     0.79 |   0.80
0336 -      0.00 |    0.00 |     0.65 |   0.74
0337 -      0.00 |    0.00 |     0.84 |   0.84
0338 -      0.00 |    0.00 |     0.60 |   0.59
0339 -     19.17 |   19.35 |     0.86 |   0.89
0340 -      7.53 |    0.00 |     0.72 |   0.72
0341 -      0.00 |    0.00 |     0.74 |   0.76
0342 -      0.00 |   23.81 |     0.79 |   0.81
0343 -      0.00 |    3.74 |     0.97 |   0.97
0344 -     10.91 |   10.49 |     0.80 |   0.81
0345 -     38.74 |   40.78 |     0.94 |   0.96
0346 -      0.00 |    0.00 |     0.63 |   0.63
0347 -     63.02 |   19.87 |     0.89 |   0.90
0348 -      0.00 |    0.00 |     0.89 |   0.91
0349 -      0.00 |    0.00 |     0.91 |   0.90
0350 -     40.85 |   72.26 |     0.89 |   0.95
0351 -      0.00 |    0.00 |     0.98 |   1.00
0352 -     12.15 |   11.29 |     0.85 |   0.97
0353 -     12.17 |   12.17 |     0.94 |   0.96
0354 -      0.00 |    0.00 |     0.82 |   0.80
0355 -     27.67 |   27.66 |     0.96 |   0.97
0356 -     11.67 |   11.11 |     0.86 |   0.86
0357 -     69.49 |   93.74 |     0.91 |   0.94
0358 -     72.66 |  100.00 |     0.92 |   1.00
0359 -      0.00 |    0.00 |     0.78 |   0.79
0360 -     20.29 |   17.72 |     0.82 |   0.84
0361 -     36.08 |   36.08 |     0.92 |   0.93
0362 -     75.62 |   94.38 |     0.97 |   0.99
0363 -     62.91 |   20.68 |     0.89 |   0.92
0364 -     76.82 |   76.03 |     0.93 |   0.96
0365 -      8.29 |    8.56 |     0.94 |   0.94
