################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
GOLD SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
PRED SEQ:	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the political war of isis , and we are going to defeat them fast .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.56338435, 0.27566522, 0.2266502, 0.13242835, 0.15169358, 0.097947404, 0.28550565, 0.1602828, 0.37072426, 0.4287454, 0.19750756, 0.23647703, 0.1775375, 0.26300302, 0.17307152, 0.19785517, 0.34927252, 0.19319308, 0.0038096681, 0.039798155, 0.33053592, 0.36611873, 0.42734316, 0.3345195, 0.31417173, 0.25211665, 0.008240595, 0.36301643, 0.38185948, 0.27128243, 0.39636594, 0.22941303, 0.32406288, 0.41103756, 0.28707945, 0.34466755, 0.34355843, 0.2144377, 0.45862162, 0.6782689]
GOLD TOK: 	 []
PRED TOK: 	 [['political', 'war']]
################################################################################
IN SEQ: 	 b'i know a lot of rich people .'
GOLD SEQ: 	 b'i know a lot of rich people .'
PRED SEQ:	 b'i know a lot of rich people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.43020004, 0.3345089, 0.40579197, 0.37246445, 0.54084486, 0.30673438, 0.51868516, 0.5895474]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'[ applause ] and that includes building state - of - the - art systems of all kind .'
GOLD SEQ: 	 b'[ applause ] and that includes building state - of - the - art systems of all kind .'
PRED SEQ:	 b'[ applause ] and that includes building their systems of all kind .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.06969163, -0.06612119, 0.08569698, 0.18968742, 0.13358013, 0.20425358, 0.19523972, 0.28375047, 0.35356677, 0.47340268, 0.2750864, 0.23628137, 0.28412747, 0.53347975, 0.56740177, 0.7305305, 0.5594757, 0.54342973, 0.17691752]
GOLD TOK: 	 []
PRED TOK: 	 [['their']]
################################################################################
IN SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
PRED SEQ:	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5043324, 0.46782953, 0.393524, 0.52899194, 0.2529235, 0.24805924, 0.46322137, 0.67541593, 0.7247305, 0.7049768, 0.68441975, 0.71345866, 0.45719677, 0.4718437, 0.45134652, 0.52072984, 0.7748232]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
GOLD SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
PRED SEQ:	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5917634, 0.4812407, 0.3332929, 0.09985296, -0.13633163, -0.028170675, 0.35623822, 0.21412337, 0.08022581, 0.3620415, 0.4621756, 0.55888456, 0.24073659, 0.4940637, 0.7503133, 0.35578385, 0.9517703]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is the hate ##ful attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD SEQ: 	 b'this is the hate ##ful attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
PRED SEQ:	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
