################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
GOLD SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
PRED SEQ:	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.638903e-05, 5.972919e-06, 9.897455e-06, 0.00018511133, 3.3123372e-06, 0.0011829517, 1.6929201e-06, 0.00077246834, 0.0013132079, 2.843029e-05, 9.064849e-06, 2.0053607e-05, 0.0007109951, 0.0002220411, 0.0007927174, 0.00010678741, 1.172844e-05, 4.81965e-05, 2.4262968e-06, 0.00073599524, 2.8767395e-06, 6.770495e-05, 4.3794457e-06, 1.5148856e-05, 1.548451e-06, 1.835784e-05, 0.0001181087, 0.90990245, 7.947488e-05, 0.0005147476, 1.1964706e-06, 2.1873743e-06, 5.5193654e-05, 2.787272e-06, 8.790807e-06, 1.3090151e-06, 1.5963149e-05, 4.2293243e-05, 0.00033289616, 1.2328225e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i know a lot of rich people .'
GOLD SEQ: 	 b'i know a lot of rich people .'
PRED SEQ:	 b'i know a lot of people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.33023396, 0.18595123, 0.0010646544, 0.014908591, 0.00015474524, 0.48534614, 0.03127563, 0.009707203]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'[ applause ] and that includes building state - of - the - art systems of all kind .'
GOLD SEQ: 	 b'[ applause ] and that includes building state - of - the - art systems of all kind .'
PRED SEQ:	 b'[ applause ] and that includes building building state of all kind .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.8667174e-05, 0.0008316114, 6.1026363e-05, 2.4896733e-06, 2.53067e-06, 5.234797e-06, 4.9836664e-05, 0.9993736, 0.9994448, 0.99946004, 0.99946946, 0.9995018, 0.99924904, 0.99870956, 1.7584536e-05, 1.9354043e-06, 6.0154034e-06, 1.079952e-05, 1.9092968e-06]
GOLD TOK: 	 []
PRED TOK: 	 [['building']]
################################################################################
IN SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
PRED SEQ:	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010862566, 0.006178199, 0.00017762772, 0.010643003, 0.14470227, 0.0045892433, 0.070235215, 0.14712545, 0.12488245, 0.00023065381, 3.1054253e-05, 0.00041748123, 0.00014334307, 0.037519094, 0.22874244, 0.0058796084, 4.4759887e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
