==============================================
BLEU GOLD:                               29.60
BLEU IN:                                 52.77
SIM GOLD:                               0.8661
SIM IN:                                 0.9473
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     86.81 |   97.30 |     0.96 |   1.00
0002 -     83.78 |   98.85 |     0.94 |   0.97
0003 -     96.91 |  100.00 |     0.84 |   1.00
0004 -     42.70 |  100.00 |     0.91 |   1.00
0005 -     99.28 |   55.36 |     1.00 |   0.96
0006 -     63.47 |   63.03 |     0.85 |   0.98
0007 -      0.00 |    0.00 |     0.51 |   0.60
0008 -      0.00 |    0.00 |     0.49 |   0.60
0009 -      0.00 |   90.03 |     0.81 |   0.99
0010 -     11.38 |  100.00 |     0.99 |   1.00
0011 -     98.94 |  100.00 |     0.87 |   1.00
0012 -     68.21 |  100.00 |     0.95 |   1.00
0013 -      0.00 |    0.00 |     0.95 |   0.99
0014 -      0.00 |   97.76 |     0.79 |   1.00
0015 -     51.64 |   52.54 |     0.93 |   0.93
0016 -     25.20 |   25.21 |     0.81 |   0.97
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |    0.00 |     0.92 |   0.98
0019 -      0.00 |    5.56 |     0.89 |   0.93
0020 -     48.15 |   43.98 |     0.85 |   1.00
0021 -     80.85 |  100.00 |     0.96 |   1.00
0022 -      0.00 |    0.00 |     0.95 |   1.00
0023 -      0.00 |   94.46 |     0.88 |   0.96
0024 -     74.34 |  100.00 |     0.99 |   1.00
0025 -     13.45 |   15.56 |     0.66 |   0.72
0026 -     97.20 |  100.00 |     0.99 |   1.00
0027 -     40.32 |   98.13 |     0.93 |   1.00
0028 -     14.55 |   13.52 |     0.90 |   0.98
0029 -     61.85 |  100.00 |     0.95 |   1.00
0030 -     53.73 |    0.00 |     0.91 |   0.92
0031 -     12.00 |   12.28 |     0.86 |   0.95
0032 -     17.64 |   85.01 |     0.86 |   0.94
0033 -     44.14 |   86.76 |     0.87 |   1.00
0034 -     88.42 |   94.82 |     0.96 |   0.98
0035 -     50.47 |  100.00 |     0.87 |   1.00
0036 -     16.12 |   98.91 |     0.97 |   0.99
0037 -     10.56 |    6.51 |     0.83 |   0.91
0038 -     37.15 |   15.11 |     0.88 |   0.93
0039 -     26.93 |   21.10 |     0.94 |   1.00
0040 -     53.48 |   42.78 |     0.84 |   0.93
0041 -     47.76 |  100.00 |     0.93 |   1.00
0042 -     76.64 |   98.76 |     0.90 |   0.96
0043 -      0.00 |    4.51 |     0.94 |   0.95
0044 -     11.55 |   11.44 |     0.83 |   0.94
0045 -     53.17 |   99.42 |     0.92 |   1.00
0046 -      0.00 |    0.00 |     0.98 |   1.00
0047 -      0.00 |    0.00 |     0.86 |   0.96
0048 -     74.41 |   20.14 |     0.90 |   0.97
0049 -     57.99 |  100.00 |     0.98 |   1.00
0050 -     43.42 |   93.88 |     0.89 |   0.94
0051 -      0.00 |    0.00 |     0.82 |   0.88
0052 -     70.95 |   99.21 |     0.95 |   0.99
0053 -      0.00 |    0.00 |     0.70 |   0.81
0054 -     33.70 |   34.57 |     0.87 |   0.87
0055 -     94.03 |    5.43 |     0.99 |   0.91
