==============================================
BLEU GOLD:                               45.70
BLEU IN:                                 60.81
ACC GOLD:                               0.0000
ACC IN:                                 0.0540
SIM GOLD:                               0.7987
SIM IN:                                 0.8724
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     10.89 |   11.01 |     0.93 |   0.97
0002 -     35.32 |   34.23 |     0.89 |   0.93
0003 -     28.59 |   28.59 |     0.55 |   0.80
0004 -     29.87 |   27.00 |     0.90 |   0.96
0005 -     24.83 |   26.34 |     0.98 |   0.94
0006 -     57.87 |   50.73 |     0.84 |   0.98
0007 -      0.00 |    0.00 |     0.67 |   0.67
0008 -      0.00 |    0.00 |     0.66 |   0.85
0009 -      0.00 |    0.00 |     0.45 |   0.43
0010 -      0.00 |    4.18 |     0.81 |   0.81
0011 -      0.00 |    0.00 |     0.82 |   0.90
0012 -     33.51 |   36.61 |     0.87 |   0.90
0013 -      0.00 |    0.00 |     0.92 |   0.96
0014 -      0.00 |    9.89 |     0.65 |   0.91
0015 -      0.00 |    0.00 |     0.88 |   0.90
0016 -     43.34 |   43.72 |     0.80 |   0.95
0017 -      0.00 |   69.86 |     0.49 |   0.91
0018 -     31.89 |   30.20 |     0.87 |   0.96
0019 -      7.24 |    0.00 |     0.78 |   0.81
0020 -     53.55 |   42.91 |     0.86 |   1.00
0021 -      8.26 |    8.56 |     0.79 |   0.83
0022 -      0.00 |   27.32 |     0.69 |   0.77
0023 -      9.45 |   99.33 |     0.91 |   0.99
0024 -     57.29 |   59.18 |     0.93 |   0.95
0025 -      0.00 |    0.00 |     0.60 |   0.61
0026 -     96.40 |   99.26 |     0.98 |   1.00
0027 -     11.25 |    7.66 |     0.51 |   0.51
0028 -      9.10 |    8.22 |     0.87 |   0.95
0029 -     49.50 |   52.31 |     0.93 |   0.98
0030 -     17.60 |   41.88 |     0.76 |   0.77
0031 -      0.00 |    0.00 |     0.18 |   0.19
0032 -     18.37 |   58.00 |     0.88 |   0.96
0033 -      0.00 |   48.51 |     0.37 |   0.53
0034 -      0.00 |    0.00 |     0.87 |   0.88
0035 -     52.86 |   49.72 |     0.83 |   0.94
0036 -      0.00 |    0.00 |     0.89 |   0.90
0037 -      7.12 |   13.26 |     0.58 |   0.70
0038 -     14.60 |   36.93 |     0.81 |   0.93
0039 -     11.60 |   10.40 |     0.91 |   0.96
0040 -      0.00 |    0.00 |     0.92 |   0.84
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -      0.00 |    0.00 |     0.88 |   0.96
0043 -      5.83 |    8.28 |     0.87 |   0.89
0044 -     99.78 |  100.00 |     0.92 |   1.00
0045 -      6.16 |    4.06 |     0.73 |   0.80
0046 -      0.00 |    6.45 |     0.80 |   0.83
0047 -      0.00 |    0.00 |     0.76 |   0.83
0048 -     22.44 |   20.91 |     0.78 |   0.85
0049 -     11.10 |   10.18 |     0.85 |   0.86
0050 -     40.85 |   93.45 |     0.89 |   0.94
0051 -      0.00 |    0.00 |     0.69 |   0.72
0052 -      0.00 |    0.00 |     0.62 |   0.64
0053 -      9.88 |    9.27 |     0.68 |   0.72
0054 -     17.32 |   16.35 |     0.68 |   0.77
0055 -     93.52 |    0.00 |     0.93 |   0.86
0056 -     30.57 |    0.00 |     0.86 |   0.89
0057 -     97.10 |   97.53 |     0.96 |   0.97
0058 -      0.00 |    8.97 |     0.77 |   0.71
0059 -      0.00 |   98.20 |     0.83 |   0.99
0060 -     65.58 |   89.38 |     0.92 |   0.97
0061 -      0.00 |    0.00 |     0.93 |   0.94
0062 -      0.00 |    0.00 |     0.95 |   0.98
0063 -     22.89 |   33.31 |     0.25 |   0.35
0064 -      0.00 |    0.00 |     0.87 |   0.87
0065 -      6.04 |    5.82 |     0.89 |   0.91
0066 -      0.00 |    3.65 |     0.87 |   0.93
0067 -     59.55 |   93.82 |     0.97 |   0.98
0068 -     47.95 |  100.00 |     0.73 |   1.00
0069 -     13.76 |   35.68 |     0.77 |   0.82
