==============================================
BLEU GOLD:                               45.83
BLEU IN:                                 68.98
SIM GOLD:                               0.9415
SIM IN:                                 0.9763
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     72.30 |   96.60 |     0.95 |   1.00
0002 -     92.53 |   98.39 |     0.95 |   0.97
0003 -     46.14 |   81.12 |     0.96 |   0.97
0004 -      0.00 |    0.00 |     0.87 |   0.93
0005 -     28.03 |  100.00 |     0.97 |   1.00
0006 -     94.63 |  100.00 |     1.00 |   1.00
0007 -     83.36 |   97.80 |     0.75 |   0.78
0008 -     36.80 |   78.95 |     0.92 |   0.97
0009 -     93.78 |  100.00 |     0.98 |   1.00
0010 -      0.00 |    0.00 |     0.97 |   0.99
0011 -     89.23 |  100.00 |     0.95 |   1.00
0012 -     49.24 |   55.50 |     0.97 |   1.00
0013 -     43.04 |   41.57 |     0.98 |   1.00
0014 -     47.38 |  100.00 |     0.99 |   1.00
0015 -     75.95 |   54.97 |     0.94 |   0.98
0016 -     76.62 |   76.62 |     0.94 |   0.99
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -     35.18 |   39.26 |     0.92 |   0.94
0019 -     32.85 |  100.00 |     0.99 |   1.00
0020 -     66.43 |   25.87 |     0.99 |   0.99
0021 -     37.47 |   55.41 |     0.99 |   1.00
0022 -     92.60 |   99.16 |     0.95 |   1.00
0023 -     15.08 |   17.65 |     0.97 |   0.99
0024 -     42.83 |  100.00 |     0.97 |   1.00
0025 -     52.12 |  100.00 |     0.88 |   1.00
0026 -      0.00 |    0.00 |     0.99 |   1.00
0027 -      0.00 |  100.00 |     0.89 |   1.00
0028 -     60.64 |  100.00 |     0.97 |   1.00
0029 -      9.27 |  100.00 |     0.96 |   1.00
0030 -      0.00 |    0.00 |     0.95 |   0.97
0031 -      4.03 |    0.00 |     0.98 |   0.98
0032 -     90.53 |  100.00 |     0.99 |   1.00
0033 -      0.00 |    0.00 |     0.88 |   0.90
0034 -     74.93 |   47.15 |     0.97 |   1.00
0035 -      0.00 |  100.00 |     0.98 |   1.00
0036 -     94.44 |  100.00 |     0.95 |   1.00
0037 -     13.29 |  100.00 |     0.92 |   1.00
0038 -     39.43 |  100.00 |     0.96 |   1.00
0039 -     63.51 |   98.45 |     0.98 |   1.00
0040 -     49.53 |  100.00 |     0.99 |   1.00
0041 -     46.30 |   94.88 |     0.98 |   0.99
0042 -     29.04 |  100.00 |     0.92 |   1.00
0043 -      0.00 |  100.00 |     1.00 |   1.00
0044 -      0.00 |    0.00 |     0.80 |   0.84
0045 -     94.07 |  100.00 |     0.97 |   1.00
0046 -      0.00 |    0.00 |     0.88 |   0.91
0047 -     65.48 |  100.00 |     0.58 |   1.00
0048 -      0.00 |    0.00 |     0.99 |   1.00
0049 -     63.72 |  100.00 |     0.98 |   1.00
0050 -     66.43 |   95.77 |     0.97 |   0.99
