==============================================
BLEU GOLD:                               29.67
BLEU IN:                                 53.27
SIM GOLD:                               0.8718
SIM IN:                                 0.9549
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     87.82 |   96.12 |     0.96 |   0.99
0002 -     85.10 |   80.15 |     0.96 |   1.00
0003 -      0.00 |    0.00 |     0.81 |   0.98
0004 -     37.38 |   87.65 |     0.85 |   0.96
0005 -     99.27 |   54.39 |     1.00 |   0.96
0006 -      0.00 |    0.00 |     0.86 |   0.99
0007 -     20.06 |   16.73 |     0.78 |   0.82
0008 -      0.00 |   43.51 |     0.71 |   0.95
0009 -      0.00 |    0.00 |     0.59 |   0.76
0010 -     11.38 |  100.00 |     0.99 |   1.00
0011 -     98.94 |  100.00 |     0.87 |   1.00
0012 -     67.41 |   94.13 |     0.94 |   1.00
0013 -     36.49 |   35.72 |     0.92 |   0.96
0014 -      0.00 |    0.00 |     0.81 |   0.95
0015 -     51.01 |   50.78 |     0.90 |   0.93
0016 -     56.15 |   66.53 |     0.81 |   0.99
0017 -      0.00 |   97.85 |     0.61 |   0.96
0018 -      0.00 |    0.00 |     0.90 |   0.96
0019 -      0.00 |    5.69 |     0.94 |   0.97
0020 -     48.15 |   43.98 |     0.85 |   1.00
0021 -     41.96 |   42.24 |     0.87 |   0.89
0022 -      0.00 |    0.00 |     0.87 |   0.91
0023 -      0.00 |   99.16 |     0.90 |   0.97
0024 -     59.40 |   60.01 |     0.98 |   0.99
0025 -     20.52 |   31.31 |     0.88 |   0.92
0026 -     96.47 |   99.27 |     0.98 |   0.99
0027 -      0.00 |    6.18 |     0.86 |   0.93
0028 -     13.33 |   12.15 |     0.77 |   0.85
0029 -     61.85 |   97.88 |     0.89 |   0.95
0030 -      0.00 |   55.83 |     0.95 |   0.94
0031 -      0.00 |    0.00 |     0.73 |   0.78
0032 -     17.64 |   94.87 |     0.83 |   0.91
0033 -     31.55 |   77.77 |     0.87 |   1.00
0034 -     42.50 |   42.59 |     0.96 |   0.98
0035 -     50.47 |   96.00 |     0.87 |   0.99
0036 -      0.00 |    0.00 |     0.97 |   0.98
0037 -      7.45 |   97.37 |     0.87 |   1.00
0038 -     24.55 |   84.00 |     0.95 |   1.00
0039 -     26.93 |   21.30 |     0.90 |   0.94
0040 -     60.58 |   42.41 |     0.90 |   1.00
0041 -     47.76 |  100.00 |     0.93 |   1.00
0042 -     76.41 |   96.29 |     0.91 |   1.00
0043 -      5.78 |   95.53 |     0.93 |   0.96
0044 -     98.29 |  100.00 |     0.92 |   1.00
0045 -     54.06 |   93.73 |     0.92 |   0.99
0046 -      0.00 |    0.00 |     0.98 |   1.00
0047 -     24.06 |  100.00 |     0.93 |   1.00
0048 -     26.21 |   19.47 |     0.91 |   0.98
0049 -     57.99 |   97.94 |     0.98 |   1.00
0050 -     42.63 |   59.25 |     0.90 |   0.95
0051 -      0.00 |    0.00 |     0.83 |   0.90
0052 -     70.95 |   99.21 |     0.95 |   0.99
0053 -     89.19 |   99.09 |     0.92 |   0.99
0054 -      0.00 |    0.00 |     0.84 |   0.96
0055 -      0.00 |    0.00 |     0.90 |   0.84
0056 -      0.00 |    0.00 |     0.89 |   0.91
0057 -      0.00 |    0.00 |     0.95 |   0.94
0058 -      0.00 |    0.00 |     0.87 |   0.89
0059 -     81.00 |  100.00 |     0.83 |   1.00
0060 -      0.00 |    0.00 |     0.92 |   0.97
0061 -      0.00 |    0.00 |     0.96 |   0.97
0062 -      0.00 |    0.00 |     0.95 |   0.98
0063 -     60.26 |   42.54 |     0.84 |   0.88
0064 -      0.00 |    0.00 |     0.86 |   0.89
0065 -      7.20 |    6.95 |     0.90 |   0.93
0066 -     43.71 |  100.00 |     0.93 |   1.00
0067 -     63.12 |   95.15 |     0.98 |   0.99
0068 -     74.48 |  100.00 |     0.73 |   1.00
0069 -      0.00 |  100.00 |     0.93 |   1.00
0070 -      0.00 |    0.00 |     0.89 |   0.93
0071 -      6.68 |    9.18 |     0.95 |   0.99
0072 -     66.70 |   98.90 |     0.84 |   1.00
0073 -     70.42 |   49.36 |     0.76 |   0.92
0074 -      0.00 |    0.00 |     0.85 |   0.82
0075 -     12.19 |   12.80 |     0.95 |   0.96
0076 -     63.63 |   94.38 |     0.83 |   0.99
0077 -     60.18 |   39.05 |     0.96 |   0.95
0078 -      0.00 |    0.00 |     0.75 |   0.86
0079 -      0.00 |    0.00 |     0.73 |   0.80
0080 -     66.36 |  100.00 |     0.94 |   1.00
0081 -      8.67 |    8.04 |     0.92 |   0.98
0082 -      0.00 |  100.00 |     0.90 |   1.00
0083 -      0.00 |    0.00 |     0.93 |   0.94
0084 -      8.80 |    8.00 |     0.84 |   0.98
0085 -     57.91 |  100.00 |     0.73 |   1.00
0086 -      0.00 |   93.08 |     0.87 |   0.96
0087 -     81.95 |  100.00 |     0.90 |   1.00
0088 -     78.19 |   93.24 |     0.90 |   0.93
0089 -     30.76 |   31.00 |     0.91 |   0.96
0090 -     68.36 |   83.52 |     0.84 |   0.99
0091 -      0.00 |  100.00 |     0.91 |   1.00
0092 -     53.78 |   82.54 |     0.94 |   0.98
0093 -      0.00 |    9.69 |     0.83 |   0.96
0094 -     31.44 |   73.35 |     0.86 |   0.94
0095 -     98.06 |  100.00 |     0.94 |   1.00
0096 -      0.00 |   12.92 |     0.85 |   0.83
0097 -      0.00 |    0.00 |     0.91 |   0.99
0098 -     51.85 |   79.41 |     0.79 |   0.84
0099 -     76.50 |  100.00 |     0.87 |   1.00
0100 -     34.02 |   51.10 |     0.64 |   0.96
0101 -     39.95 |   99.18 |     0.84 |   0.98
0102 -     85.67 |   85.64 |     0.96 |   1.00
0103 -      0.00 |    0.00 |     0.89 |   0.93
0104 -     49.64 |   98.84 |     0.93 |   0.98
0105 -     48.81 |   50.50 |     0.93 |   1.00
0106 -     90.28 |   95.45 |     0.97 |   1.00
0107 -     52.58 |    0.00 |     0.81 |   0.93
0108 -     44.39 |   96.14 |     0.75 |   0.89
0109 -      0.00 |    6.78 |     0.84 |   0.93
0110 -     11.76 |   78.94 |     0.87 |   0.96
0111 -     56.54 |  100.00 |     0.95 |   1.00
0112 -     49.91 |   98.93 |     0.92 |   0.97
0113 -     15.24 |  100.00 |     0.94 |   1.00
0114 -      0.00 |    0.00 |     0.93 |   0.96
0115 -     66.04 |  100.00 |     0.99 |   1.00
0116 -     55.21 |  100.00 |     0.91 |   1.00
0117 -     16.64 |   36.20 |     0.86 |   0.87
0118 -     13.46 |   12.84 |     0.92 |   0.98
0119 -      0.00 |    0.00 |     0.80 |   0.86
0120 -      0.00 |    0.00 |     0.89 |   0.90
