==============================================
BLEU GOLD:                               28.01
BLEU IN:                                 37.20
SIM GOLD:                               0.8616
SIM IN:                                 0.8923
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.66 |   0.67
0002 -      0.00 |    0.00 |     0.79 |   0.81
0003 -     30.11 |   46.50 |     0.90 |   0.92
0004 -      0.00 |    0.00 |     0.87 |   0.93
0005 -     28.78 |   78.40 |     0.95 |   0.97
0006 -      0.00 |    0.00 |     0.92 |   0.93
0007 -     97.75 |   82.14 |     0.77 |   0.75
0008 -     37.76 |   39.19 |     0.84 |   0.87
0009 -      0.00 |    0.00 |     0.79 |   0.80
0010 -      0.00 |    0.00 |     0.89 |   0.91
0011 -      0.00 |    0.00 |     0.92 |   0.95
0012 -     46.67 |   52.06 |     0.95 |   0.98
0013 -     40.80 |   41.64 |     0.88 |   0.90
0014 -      0.00 |    0.00 |     0.92 |   0.93
0015 -     16.26 |   16.26 |     0.65 |   0.69
0016 -     37.90 |   37.90 |     0.93 |   0.97
0017 -     17.91 |   61.17 |     0.86 |   0.92
0018 -      0.00 |    0.00 |     0.89 |   0.91
0019 -     36.58 |   73.73 |     0.88 |   0.88
0020 -     51.98 |   51.46 |     0.82 |   0.82
0021 -      0.00 |    0.00 |     0.75 |   0.76
0022 -      0.00 |    0.00 |     0.85 |   0.91
0023 -      0.00 |    0.00 |     0.69 |   0.73
0024 -     11.57 |   10.79 |     0.75 |   0.79
0025 -      9.32 |    9.96 |     0.43 |   0.58
0026 -     77.09 |   99.01 |     0.96 |   0.97
0027 -      0.00 |   89.66 |     0.89 |   0.99
0028 -     33.78 |   34.11 |     0.94 |   0.97
0029 -      0.00 |    0.00 |     0.91 |   0.91
0030 -      0.00 |    8.63 |     0.85 |   0.87
0031 -      0.00 |    0.00 |     0.91 |   0.92
0032 -      0.00 |    0.00 |     0.89 |   0.91
0033 -      0.00 |    0.00 |     0.79 |   0.82
0034 -      5.52 |   17.03 |     0.73 |   0.77
0035 -      0.00 |    0.00 |     0.49 |   0.52
0036 -     94.44 |  100.00 |     0.95 |   1.00
0037 -     11.84 |    9.66 |     0.82 |   0.87
0038 -     46.26 |   39.04 |     0.93 |   0.96
0039 -     60.65 |   98.45 |     0.96 |   0.97
0040 -     50.10 |   52.75 |     0.88 |   0.89
0041 -      0.00 |    0.00 |     0.70 |   0.72
0042 -     25.90 |   29.62 |     0.72 |   0.73
0043 -      0.00 |    0.00 |     0.53 |   0.53
0044 -      0.00 |    0.00 |     0.89 |   0.92
0045 -     93.05 |   98.96 |     0.93 |   0.97
0046 -      0.00 |    0.00 |     0.65 |   0.64
0047 -     65.48 |  100.00 |     0.58 |   1.00
0048 -      0.00 |    0.00 |     0.62 |   0.64
0049 -     49.59 |   83.07 |     0.93 |   0.94
0050 -      0.00 |    0.00 |     0.89 |   0.87
0051 -      0.00 |    9.39 |     0.74 |   0.79
0052 -     15.65 |   90.51 |     0.92 |   0.95
0053 -     40.25 |   82.48 |     0.89 |   0.88
0054 -      0.00 |    0.00 |     0.84 |   0.88
0055 -     89.36 |   97.87 |     0.95 |   0.99
0056 -      0.00 |    0.00 |     0.80 |   0.83
0057 -     28.08 |   79.01 |     0.88 |   0.94
0058 -     45.33 |   47.33 |     0.73 |   0.78
0059 -      0.00 |    0.00 |     0.94 |   0.94
0060 -      8.95 |   10.17 |     0.81 |   0.84
0061 -     88.38 |   92.85 |     0.97 |   0.99
0062 -     33.63 |   44.87 |     0.57 |   0.66
0063 -     21.29 |   20.50 |     0.88 |   0.96
0064 -      7.60 |    6.89 |     0.84 |   0.85
0065 -     60.49 |   91.21 |     0.95 |   0.99
0066 -     63.72 |   92.99 |     0.95 |   0.97
0067 -      0.00 |    0.00 |     0.69 |   0.69
0068 -     90.46 |   78.57 |     0.91 |   0.95
0069 -      0.00 |   58.98 |     0.81 |   0.83
0070 -      0.00 |    0.00 |     0.89 |   0.90
0071 -      5.57 |    0.00 |     0.60 |   0.61
0072 -      0.00 |    0.00 |     0.70 |   0.71
0073 -      0.00 |  100.00 |     0.92 |   1.00
0074 -     32.93 |   32.51 |     0.93 |   0.95
0075 -     89.68 |  100.00 |     0.96 |   1.00
0076 -     25.96 |   31.08 |     0.96 |   0.97
0077 -     79.33 |  100.00 |     0.97 |   1.00
0078 -      0.00 |    0.00 |     0.66 |   0.70
0079 -     33.25 |   90.96 |     0.90 |   0.93
0080 -     16.66 |   16.18 |     0.75 |   0.81
0081 -      0.00 |    0.00 |     0.76 |   0.75
0082 -     24.10 |   24.66 |     0.84 |   0.84
0083 -     47.18 |   47.18 |     0.86 |   0.90
0084 -      0.00 |    0.00 |     0.81 |   0.83
0085 -     77.67 |    0.00 |     0.87 |   0.86
0086 -     55.72 |   61.10 |     0.74 |   0.83
0087 -      0.00 |   32.05 |     0.87 |   0.91
0088 -     49.18 |   47.40 |     0.94 |   0.95
0089 -      0.00 |    0.00 |     0.88 |   0.91
0090 -     31.00 |   30.71 |     0.86 |   0.94
0091 -     16.13 |   14.81 |     0.87 |   0.94
0092 -     11.44 |   11.44 |     0.43 |   0.49
0093 -     63.79 |   70.52 |     0.90 |   0.98
0094 -     54.96 |   78.30 |     0.40 |   0.84
0095 -     26.45 |   26.74 |     0.94 |   0.96
0096 -      0.00 |   35.31 |     0.56 |   0.57
0097 -      0.00 |    0.00 |     0.82 |   0.83
0098 -     85.88 |   92.00 |     0.95 |   0.99
0099 -     95.42 |   99.16 |     0.95 |   0.97
0100 -      0.00 |    0.00 |     0.90 |   0.93
0101 -     56.26 |   58.67 |     0.93 |   0.96
0102 -      5.76 |    5.25 |     0.80 |   0.84
0103 -     42.77 |   36.68 |     0.76 |   0.82
0104 -     29.60 |   91.60 |     0.93 |   0.95
0105 -      4.18 |    0.00 |     0.92 |   0.94
0106 -     50.58 |  100.00 |     0.97 |   1.00
0107 -     49.37 |    0.00 |     0.95 |   0.95
0108 -     86.69 |  100.00 |     0.78 |   1.00
0109 -      0.00 |    0.00 |     0.86 |   0.87
0110 -     75.02 |   75.02 |     0.88 |   0.89
0111 -      0.00 |    0.00 |     0.81 |   0.81
0112 -      0.00 |    0.00 |     0.92 |   0.91
0113 -      7.53 |    8.24 |     0.93 |   0.95
0114 -     22.67 |   96.64 |     0.99 |   0.99
0115 -     47.08 |   53.97 |     0.84 |   0.87
0116 -     75.31 |  100.00 |     0.95 |   1.00
