==============================================
BLEU GOLD:                               19.69
BLEU IN:                                 29.01
SIM GOLD:                               0.7737
SIM IN:                                 0.8394
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |   13.88 |     0.61 |   0.64
0002 -      4.14 |    4.06 |     0.58 |   0.59
0003 -      0.00 |    0.00 |     0.44 |   0.59
0004 -     37.19 |   34.13 |     0.87 |   0.96
0005 -     28.84 |   22.48 |     0.91 |   0.94
0006 -      0.00 |    0.00 |     0.45 |   0.58
0007 -     18.95 |   19.45 |     0.79 |   0.82
0008 -     50.43 |    0.00 |     0.45 |   0.70
0009 -      0.00 |    0.00 |     0.47 |   0.59
0010 -      0.00 |   16.52 |     0.87 |   0.85
0011 -     11.55 |    9.03 |     0.64 |   0.86
0012 -     25.61 |   27.02 |     0.90 |   0.95
0013 -     77.84 |   78.02 |     0.92 |   0.96
0014 -      0.00 |   18.77 |     0.72 |   0.88
0015 -      0.00 |    0.00 |     0.93 |   0.94
0016 -     56.76 |   55.78 |     0.82 |   0.96
0017 -      0.00 |    0.00 |     0.54 |   0.67
0018 -      0.00 |    0.00 |     0.75 |   0.76
0019 -      0.00 |    0.00 |     0.70 |   0.73
0020 -     48.15 |   43.98 |     0.85 |   1.00
0021 -     66.42 |   91.86 |     0.89 |   0.92
0022 -      0.00 |   25.34 |     0.80 |   0.87
0023 -      0.00 |   16.52 |     0.73 |   0.86
0024 -     59.88 |   60.85 |     0.97 |   0.98
0025 -     11.32 |   13.72 |     0.77 |   0.81
0026 -     83.29 |   85.38 |     0.98 |   0.99
0027 -     11.51 |    9.02 |     0.84 |   0.85
0028 -     99.22 |  100.00 |     0.93 |   1.00
0029 -     60.81 |   61.19 |     0.91 |   0.96
0030 -      0.00 |    4.69 |     0.97 |   0.97
0031 -      0.00 |    0.00 |     0.75 |   0.86
0032 -     18.13 |   73.11 |     0.71 |   0.78
0033 -      0.00 |    0.00 |     0.55 |   0.52
0034 -      0.00 |    0.00 |     0.50 |   0.53
0035 -     12.47 |   10.77 |     0.78 |   0.89
0036 -      0.00 |    0.00 |     0.72 |   0.72
0037 -      7.73 |   24.36 |     0.81 |   0.90
0038 -      9.83 |    8.97 |     0.60 |   0.72
0039 -     13.11 |   87.05 |     0.94 |   0.97
