==============================================
BLEU GOLD:                               45.57
BLEU IN:                                 69.07
SIM GOLD:                               0.9407
SIM IN:                                 0.9759
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     75.10 |  100.00 |     0.96 |   1.00
0002 -     92.53 |   98.39 |     0.95 |   0.97
0003 -     46.14 |   81.28 |     0.96 |   0.97
0004 -      0.00 |   11.72 |     0.79 |   0.84
0005 -     28.03 |  100.00 |     0.97 |   1.00
0006 -     94.63 |  100.00 |     1.00 |   1.00
0007 -     83.36 |   97.80 |     0.75 |   0.78
0008 -     36.47 |  100.00 |     0.93 |   1.00
0009 -      4.72 |    4.75 |     0.97 |   0.99
0010 -     93.87 |  100.00 |     0.98 |   1.00
0011 -     89.23 |  100.00 |     0.95 |   1.00
0012 -     49.99 |   55.96 |     0.95 |   0.98
0013 -     43.04 |   41.57 |     0.98 |   1.00
0014 -     47.38 |  100.00 |     0.99 |   1.00
0015 -     66.58 |   72.58 |     0.90 |   0.88
0016 -      0.00 |    0.00 |     0.95 |   0.99
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -     94.81 |  100.00 |     0.98 |   1.00
0019 -     32.85 |  100.00 |     0.99 |   1.00
0020 -     66.43 |   25.87 |     0.99 |   0.99
0021 -     37.27 |   55.14 |     0.99 |   1.00
0022 -     92.70 |  100.00 |     0.96 |   1.00
0023 -     15.99 |   18.65 |     0.94 |   0.95
0024 -     42.83 |  100.00 |     0.97 |   1.00
0025 -     52.12 |  100.00 |     0.88 |   1.00
0026 -      0.00 |    0.00 |     0.99 |   1.00
0027 -      0.00 |  100.00 |     0.89 |   1.00
0028 -     60.64 |  100.00 |     0.97 |   1.00
0029 -     83.93 |   16.08 |     0.92 |   0.95
0030 -      5.74 |    5.56 |     0.78 |   0.78
0031 -      0.00 |   81.19 |     0.97 |   0.97
0032 -     90.80 |   98.00 |     0.99 |   1.00
0033 -     93.84 |  100.00 |     0.97 |   1.00
0034 -     70.78 |   47.15 |     0.97 |   1.00
0035 -      0.00 |  100.00 |     0.98 |   1.00
