################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
PRED SEQ:	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.39102137, -0.41690433, -0.38567096, -0.14669487, -0.05778814, -0.20502773, -0.14106515, -0.6738496, -0.5486272, -0.44220003, -0.2621318, -0.025679804, -0.23280272, -0.23239757, -0.41265157, -0.37657464, -0.50348926, -0.14598794, -0.21687278, -0.14476326, -0.3101483, -0.5393411, -0.3866957, -0.36464542, -0.41543493, -0.095993005, -0.099472895, -0.16033211, -0.017770797, 0.09727886, -0.40618765, -0.62245655, -0.43882114, -0.38774723, -0.37959176, 0.0013518408, -0.12368477, -0.09590456, -0.17232096]
GOLD TOK: 	 [['barbarians']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i know a lot of people .'
GOLD SEQ: 	 b'i know a lot of rich people .'
PRED SEQ:	 b'i know a lot of people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.23503873, -0.226331, -0.060528897, 0.025320359, -0.1718584, -0.10340958, -0.20901257]
GOLD TOK: 	 [['rich']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'[ applause ] and that includes building building state of all kind .'
GOLD SEQ: 	 b'[ applause ] and that includes building state - of - the - art systems of all kind .'
PRED SEQ:	 b'[ applause ] and that includes building state of all kind .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3598529, -0.4319036, -0.41035807, -0.4134882, -0.2635511, -0.27350354, -0.17460388, -0.22431013, -0.50036204, -0.21939184, -0.115333736, -0.30797374, -0.36030185]
GOLD TOK: 	 [['-', 'of', '-', 'the', '-', 'art', 'systems']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
PRED SEQ:	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.33387232, -0.46825755, -0.30926356, -0.35192448, -0.37397, -0.46276206, -0.23046194, -0.07731779, -0.10805945, -0.16409749, -0.38181752, -0.26494128, -0.13316445, -0.20974979, -0.28783572, -0.34585872, -0.30441907]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , horrible .'
GOLD SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
PRED SEQ:	 b'what was said in the last ones to the d ##nc was horrible , horrible .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
