################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.42061293, -0.23207682, 0.44231746, -0.04313969, -0.04544437, -0.14552942, -0.077332035, -0.071141794, 0.022056654, -0.25905353, 0.39189276, 0.040538915, 0.028401777, 0.04088887, -0.061801933, -0.12241792, 0.022382662, 0.00913839, -0.04319092, -0.04538384, 0.19102868, 0.35094845, 0.22775906, 0.12269609, -0.10286823, -0.075058654, 0.017940909, 0.2530805, 0.11317077, -0.042886645, 0.26080868, 0.102648005, 0.04902047, -0.1169613, 0.019481935, -0.120703705, 0.040347144, -0.1164283, 0.06963596, -0.057145987, -0.114795566, 0.18527004, -0.360898, -0.71917164, -0.37476173]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [-0.13234802, -0.11456114, -0.19651458, -0.17995426, -0.19287255, -0.0848462, -0.15686925, -0.15775433, 0.19496295, 0.3547837, -0.02907987, -0.18558314, -0.12398587, 0.060564518, -0.031928953, 0.28145206, 0.47915223, 0.5063972, 0.032083333, 0.09236127, 0.32694763, 0.20744076, 0.3951897, 0.31768635, 0.38050425, -0.0307924, 0.024491817, 0.026735283, 0.071744755, 0.061322838, -0.106964216, -0.08872062, -0.06325738, 0.103418976, 0.08193377, 0.098510295, -0.06106645, -0.04303708, -0.02493599, -0.32382283, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
