################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.28322533, -0.30183738, 0.18320411, -0.1955684, 0.05774066, -0.1766733, -0.24119762, -0.23674136, -0.3007779, -0.0075565055, 0.32759297, 0.53230464, 0.3247267, -0.22700104, 0.06892979, 0.17270106, 0.29554695, 0.099035405, 0.17583314, 0.12074007, 0.28223968, 0.11176996, 0.35702348, 0.5383321, 0.0624364, -0.12342161, 0.24490151, 0.14784378, 0.09439626, -0.35143477, 0.08226602, -0.057976216, -0.2516287, -0.18900603, -0.16309509, -0.2949368, -0.17165987, -0.26355314, -0.08999046, -0.16378099, -0.21112786, 0.038872622, -0.07417007, -0.25750256, -0.23313391]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [-0.06954612, -0.19005084, -0.15294056, 0.023699217, -0.04652019, 0.18286344, -0.0013574138, 0.027990706, 0.2713437, 0.3767783, 0.1687364, 0.010100428, 0.32213366, 0.20033106, 0.108933166, 0.20456585, -0.02574445, -0.05673563, 0.09009148, 0.08386998, 0.21128032, 0.17259736, 0.14087406, 0.1963394, 0.234291, 0.20396589, 0.06705293, 0.14134577, 0.12824668, -0.12705107, -0.02177538, -0.095398545, -0.30442375, -0.062046647, -0.04450158, 0.24578258, 0.17699659, -0.029456757, -0.15920337, 0.08132004, -0.059595972, 0.16954091, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
