################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as ground ##less and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14242586, -0.1896667, 0.11568698, -0.20138709, -0.24542066, 0.020864114, -0.24131832, 0.26334995, 0.19742747, 0.16080222, -0.05409979, -0.15527582, -0.10589898, -0.41634297, -0.24001034, -0.14311737, -0.26208055, -0.057363942, -0.1607317, -0.01892002, -0.20226109, -0.59328544, -0.058521405, -0.018488593, -0.0181356, 0.09545556, -0.17301968, 0.09366824, -0.16684961, -0.18330413, 0.253541, -0.008361746, -0.020557621, -0.0163248, 0.17310019, -0.16516241, -0.112973616, -0.031193633, -0.18924576, -0.07704854, -0.048425987, 0.12962863, 0.31663147, 0.0036881976, 0.052779585]
GOLD TOK: 	 [['ground', '##less']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the popular hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
PRED DIST: 	 [-0.18170442, -0.46276224, -0.20352097, -0.068294674, -0.06419286, 0.053559806, -0.015539631, -0.094655365, -0.4330875, -0.35591483, -0.25473788, 0.0348109, -0.20816483, -0.11184456, -0.32652897, -0.31881204, -0.12283987, -0.09763613, -0.23988673, -0.2677386, -0.01891201, -0.052689284, -0.04136379, -0.5416228, -0.32435983, 0.10154316, -0.012492236, 0.24684417, 0.4019898, 0.07734114, 0.30492505, 0.27632076, -0.053237602, 0.18565038, 0.15977314, 0.052798152, 0.22935832, -0.04085274, 0.2119013, -0.056409612, 0.021873042, 0.4721089, 0.45339411, -0.044062495, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a disgrace ##d liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
