################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the political war of isis , and we are going to defeat them fast .'
GOLD SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
PRED SEQ:	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the political war of isis , and we are going to defeat them fast .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.49114057, -0.27121046, -0.44675437, -0.22497995, -0.00039786473, -0.16823483, -0.34184092, -0.37873426, -0.30029255, -0.3414764, -0.048293732, 0.106709294, -0.07582496, 0.03494577, -0.055594042, -0.059101954, 0.02799029, -0.066009596, -0.019787535, -0.13469712, -0.14255762, -0.24794994, 0.09444924, -0.06432593, -0.070257686, 0.072315864, 0.4223566, 0.050511647, 0.1307629, 0.37150788, -0.122272655, -0.09182635, 0.077537805, -0.11327252, 0.18125132, 0.044552118, 0.031283982, 0.30278468, 0.6328409, 0.035544485, 0.031063896]
GOLD TOK: 	 [['barbarians']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i know a lot of rich people .'
GOLD SEQ: 	 b'i know a lot of rich people .'
PRED SEQ:	 b'i know a lot of rich people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.016961157, 0.13228399, 0.487096, 0.25128192, 0.44950202, 0.337708, 0.3932459, 0.22285262]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'[ applause ] and that includes building their systems of all kind .'
GOLD SEQ: 	 b'[ applause ] and that includes building state - of - the - art systems of all kind .'
PRED SEQ:	 b'[ applause ] and that includes building their systems of all kind .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13177815, 0.06416771, -0.111333825, 0.22575003, 0.3108011, 0.10385915, 0.1602479, 0.16565257, 0.18670903, 0.3148334, 0.43581882, 0.36040002, 0.25857842]
GOLD TOK: 	 [['state', '-', 'of', '-', 'the', '-', 'art']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
PRED SEQ:	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-9.88692e-06, 0.2168324, 0.23931763, 0.04498303, 0.2513733, 0.41982222, 0.5043259, 0.099322826, 0.2303117, 0.32330284, 0.29059356, 0.2178619, 0.20815618, 0.58850205, 0.20056702, 0.42652708, 0.23973104]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
GOLD SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
PRED SEQ:	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0770686, 0.3699183, 0.3757854, 0.5772389, 0.56666374, 0.3806535, 0.4956685, 0.6162524, 0.6097387, 0.38228372, 0.28039497, 0.56577665, 0.44059008, 0.3693751, 0.4358437, 0.6344805, 0.34694844]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD SEQ: 	 b'this is the hate ##ful attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
PRED SEQ:	 b'this is the attitude of insider ##s like mr . gr ##uber and hillary clinton and the voters have had enough .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.043157548, 0.24420646, 0.52485585, 0.33859307, 0.5878719, 0.60458046, 0.7519251, 0.7147223, 0.6347462, 0.23582797, 0.7422074, 0.9634485, 0.570681, 1.0806433, 0.88465005, 0.45071164, 0.7927559, 0.624457, 0.5094311, 0.3838186, 0.6729437, 0.21115828]
GOLD TOK: 	 [['hate', '##ful']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'he just said that .'
