################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
PRED SEQ:	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.21633044, 0.037587024, 0.14597219, 0.019223094, 0.25694978, 0.030696616, -0.18530908, -0.16229585, -0.18448517, -0.13609633, -0.06943872, 0.18386424, 0.11014138, 0.07439038, 0.08204257, 0.050437175, 0.11500603, 0.18387385, 0.0132780075, 0.04970351, -0.050655708, -0.01365893, -0.006410569, -0.05156464, 0.10126676, 0.033357568, 0.08850655, -0.005374998, 0.018568516, -0.20327905, 0.12963237, -0.029064901, 0.07818254, 0.02727507, 0.17652948, 0.11589582, 0.12498681, 0.18967071, -0.14828633]
GOLD TOK: 	 [['barbarians']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i know a lot of people .'
GOLD SEQ: 	 b'i know a lot of rich people .'
PRED SEQ:	 b'i know a lot of people .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.1792958, 0.05205305, 0.2961089, 0.22989702, 0.4180719, 0.27557462, -0.33530354]
GOLD TOK: 	 [['rich']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'[ applause ] and that includes building building state of all kind .'
GOLD SEQ: 	 b'[ applause ] and that includes building state - of - the - art systems of all kind .'
PRED SEQ:	 b'[ applause ] and that includes building state of all kind .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.032396078, 0.11507997, 0.09545928, 0.040773533, 0.16743782, 0.10624656, 0.20039171, 0.17382011, 0.092102304, 0.29093966, 0.39920497, 0.118018456, 0.10720565]
GOLD TOK: 	 [['-', 'of', '-', 'the', '-', 'art', 'systems']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
PRED SEQ:	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.37672782, -0.27708414, 0.05965893, -0.23825169, -0.17196375, -0.26373106, -0.027527183, 0.09642397, 0.039108273, -0.09464779, -0.09320596, -0.14092025, -0.1997412, 0.02853486, 0.027548295, -0.14556846, -0.3881327]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , horrible .'
GOLD SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
PRED SEQ:	 b'what was said in the last ones to the d ##nc was horrible , horrible .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
