################################################################################
IN SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD SEQ: 	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the barbarians of isis , and we are going to defeat them fast .'
PRED SEQ:	 b'to make life safe in america , we must also address the growing threats we face from outside the country : we are going to defeat the of isis , and we are going to defeat them fast .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0040984172, 0.00030841277, 0.0008162214, 0.018841242, 0.00011097439, 0.06636119, 1.6204944e-05, 0.072727636, 0.074476495, 0.002600808, 0.0005765697, 0.0012752005, 0.055370033, 0.020814944, 0.07591007, 0.008458207, 0.0006147883, 0.0057843444, 6.042331e-05, 0.055454988, 5.2287858e-05, 0.012701396, 0.00014221227, 0.001261577, 2.720613e-05, 0.007321361, 0.073356956, 0.15817706, 0.037963226, 1.1467466e-05, 4.525902e-05, 0.014121026, 8.258499e-05, 0.00093604205, 2.0715514e-05, 0.0058471826, 0.010622845, 0.054622218, 1.0350512e-05]
GOLD TOK: 	 [['barbarians']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i know a lot of people .'
GOLD SEQ: 	 b'i know a lot of rich people .'
PRED SEQ:	 b"i don ' t believe to have a lot of people ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.66173434, 0.37416244, 0.0032393732, 0.0240357, 0.000488139, 0.046893414, 0.06351209]
GOLD TOK: 	 [['rich']]
PRED TOK: 	 [['don', "'", 't', 'believe', 'to', 'have']]
################################################################################
IN SEQ: 	 b'[ applause ] and that includes building building state of all kind .'
GOLD SEQ: 	 b'[ applause ] and that includes building state - of - the - art systems of all kind .'
PRED SEQ:	 b'[ film s and that includes building building state of all kind .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10386412, 0.6779358, 0.11352194, 0.0004713718, 0.0010739905, 0.00096319756, 0.013852035, 0.012575542, 0.06416251, 0.00033495677, 0.0028497656, 0.019492427, 0.00060967385]
GOLD TOK: 	 [['-', 'of', '-', 'the', '-', 'art', 'systems']]
PRED TOK: 	 [['film', 's']]
################################################################################
IN SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD SEQ: 	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
PRED SEQ:	 b'driving through the city you see the shutter ##ed homes and businesses , the dilapidated infrastructure .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010863158, 0.006178199, 0.00017762772, 0.010643003, 0.14470227, 0.0045866384, 0.070235215, 0.14712545, 0.12488245, 0.00023065381, 3.1054253e-05, 0.00041748123, 0.00014334307, 0.037519094, 0.22551648, 0.0059028147, 4.4759887e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , horrible .'
GOLD SEQ: 	 b'what was said in the last ones to the d ##nc was horrible , absolutely horrible .'
PRED SEQ:	 b'what was said in the last ones to the d ##nc was killed , horrible .'
