======================
BLEU:            45.03
SIM:            0.9083
======================
         BLEU | SIM
0001 -  88.65 | 0.9559
0002 -  83.37 | 0.9620
0003 -  96.91 | 0.8354
0004 -  41.34 | 0.9059
0005 -  55.77 | 0.9569
0006 -  65.87 | 0.8662
0007 -  50.57 | 0.9321
0008 -   0.00 | 0.7636
0009 -   0.00 | 0.8182
0010 -  11.15 | 0.9850
0011 -  98.56 | 0.8664
0012 -  66.73 | 0.9475
0013 -  75.39 | 0.9646
0014 -   0.00 | 0.7822
0015 -  91.13 | 0.9525
0016 -  58.95 | 0.8098
0017 -   0.00 | 0.6212
0018 -  36.29 | 0.9248
0019 -   0.00 | 0.9629
0020 -  52.57 | 0.8573
0021 -  81.07 | 0.9599
0022 -   0.00 | 0.9513
0023 -   0.00 | 0.9170
0024 -  76.04 | 0.9858
0025 -  38.75 | 0.8931
0026 -  97.20 | 0.9887
0027 -  38.07 | 0.9270
0028 -  98.92 | 0.9259
0029 -  58.50 | 0.9510
0030 -  29.94 | 0.9921
0031 -  61.42 | 0.9254
0032 -  17.08 | 0.9110
0033 -  59.11 | 0.8685
0034 -  84.99 | 0.9770
0035 -  46.08 | 0.8725
0036 -  15.99 | 0.9861
0037 -   7.40 | 0.8664
0038 -  26.47 | 0.9501
0039 -  19.17 | 0.9422
0040 -  98.84 | 0.8989
0041 -  47.15 | 0.9286
0042 -  76.26 | 0.9147
0043 -   5.79 | 0.9779
0044 -  98.29 | 0.9182
0045 -  54.06 | 0.9276
0046 -  44.84 | 0.9784
0047 -  22.78 | 0.9254
0048 -  20.76 | 0.9171
0049 -  57.80 | 0.9833
0050 -  40.00 | 0.9516
0051 -  22.86 | 0.9343
0052 -  72.12 | 0.9509
0053 -  88.50 | 0.9276
0054 -  73.02 | 0.9273
0055 -   5.52 | 0.9173
0056 -  72.66 | 0.9830
0057 -  99.13 | 0.9700
0058 -  84.73 | 0.9304
0059 -  80.07 | 0.8307
0060 -  82.90 | 0.9480
0061 -  17.86 | 0.9960
0062 -  66.89 | 0.9702
0063 -  25.00 | 0.9623
0064 -  60.68 | 0.9456
0065 -  90.05 | 0.9869
0066 -  42.28 | 0.9315
0067 -  62.31 | 0.9965
0068 -  73.86 | 0.7335
0069 -   0.00 | 0.9303
0070 -  24.89 | 0.9642
0071 -   6.32 | 0.9507
0072 -  66.78 | 0.8420
0073 -  89.50 | 0.8614
0074 -  28.46 | 0.8884
0075 -  66.92 | 0.9517
0076 -  69.16 | 0.8654
0077 -  28.06 | 0.9709
0078 -  47.34 | 0.8742
0079 -   0.00 | 0.9627
0080 -  65.47 | 0.9388
0081 -  78.99 | 0.9384
0082 -   0.00 | 0.9019
0083 -  20.50 | 0.9895
0084 -  53.05 | 0.8527
0085 -  61.80 | 0.7251
0086 -   0.00 | 0.8888
0087 -  82.90 | 0.8978
0088 -  85.57 | 0.9832
0089 -  54.88 | 0.9531
0090 -  72.61 | 0.8391
0091 -   0.00 | 0.9121
