======================
BLEU:            72.96
SIM:            0.9083
======================
         BLEU | SIM
0001 -  88.35 | 0.9559
0002 -  83.84 | 0.9620
0003 -  99.48 | 0.8354
0004 -  42.90 | 0.9059
0005 -  50.55 | 0.9569
0006 -  62.45 | 0.8662
0007 -  49.61 | 0.9321
0008 -  65.14 | 0.7636
0009 -   0.00 | 0.8182
0010 -   9.74 | 0.9850
0011 -  98.72 | 0.8664
0012 -  60.90 | 0.9475
0013 -  75.30 | 0.9646
0014 -   0.00 | 0.7822
0015 -  91.90 | 0.9525
0016 -  59.24 | 0.8098
0017 -   0.00 | 0.6212
0018 -  39.85 | 0.9248
0019 -   0.00 | 0.9629
0020 -  50.62 | 0.8573
0021 -  78.91 | 0.9599
0022 -   0.00 | 0.9513
0023 -   8.95 | 0.9170
0024 -  72.86 | 0.9858
0025 -  84.53 | 0.8931
0026 -  97.12 | 0.9887
0027 -  56.38 | 0.9270
0028 -  99.08 | 0.9259
0029 -  57.39 | 0.9510
0030 -  30.56 | 0.9921
0031 -  57.60 | 0.9254
0032 -  19.45 | 0.9110
0033 -  55.51 | 0.8685
0034 -  19.87 | 0.9770
0035 -  48.39 | 0.8725
0036 -  29.82 | 0.9861
0037 -   8.17 | 0.8664
0038 -  24.34 | 0.9501
0039 -  19.00 | 0.9422
0040 -  99.81 | 0.8989
0041 -  42.48 | 0.9286
0042 -  75.61 | 0.9147
0043 -   5.79 | 0.9779
0044 -  99.78 | 0.9182
0045 -  51.80 | 0.9276
0046 -  43.81 | 0.9784
0047 -  23.15 | 0.9254
0048 -  21.29 | 0.9171
0049 -  59.77 | 0.9833
0050 -  38.57 | 0.9516
0051 -  21.14 | 0.9343
0052 -  69.65 | 0.9509
0053 -  88.45 | 0.9276
0054 -  70.29 | 0.9273
0055 -   0.00 | 0.9173
0056 -  72.60 | 0.9830
0057 -  99.84 | 0.9700
0058 -  81.59 | 0.9304
0059 -   0.00 | 0.8307
0060 -  77.50 | 0.9480
0061 -  17.01 | 0.9960
0062 -  73.49 | 0.9702
0063 -  24.62 | 0.9623
0064 -  55.14 | 0.9456
0065 -  89.36 | 0.9869
0066 -  39.88 | 0.9315
0067 -  62.24 | 0.9965
0068 -  47.45 | 0.7335
0069 -   0.00 | 0.9303
0070 -  26.03 | 0.9642
0071 -   6.73 | 0.9507
0072 -  54.79 | 0.8420
0073 -  88.35 | 0.8614
0074 -  27.18 | 0.8884
0075 -  64.02 | 0.9517
0076 -  70.25 | 0.8654
0077 -  26.69 | 0.9709
0078 -  48.32 | 0.8742
0079 -   0.00 | 0.9627
0080 -  65.87 | 0.9388
0081 -  77.85 | 0.9384
0082 -   0.00 | 0.9019
0083 -  17.70 | 0.9895
0084 -  51.41 | 0.8527
0085 -   0.00 | 0.7251
0086 -   0.00 | 0.8888
0087 -  81.52 | 0.8978
0088 -  98.34 | 0.9832
0089 -  54.17 | 0.9531
0090 -  74.18 | 0.8391
0091 -   0.00 | 0.9121
0092 -  60.59 | 0.9575
0093 -  15.10 | 0.8705
0094 -   8.74 | 0.8742
0095 -  95.28 | 0.9432
0096 -   0.00 | 0.9423
0097 -  39.52 | 0.9207
0098 -  56.87 | 0.9127
0099 -  82.80 | 0.8740
0100 -  61.28 | 0.6886
0101 -  40.02 | 0.8398
0102 -  72.47 | 0.9598
0103 -  13.58 | 0.9590
0104 -  43.74 | 0.9464
0105 -  47.83 | 0.9334
0106 -  92.09 | 0.9758
0107 -   0.00 | 0.8245
0108 -  57.30 | 0.8372
0109 -  96.43 | 0.9125
0110 -  12.64 | 0.9140
0111 -  57.24 | 0.9502
0112 -  49.19 | 0.9480
0113 -  14.09 | 0.9389
0114 -  33.14 | 0.9797
0115 -  61.72 | 0.9921
0116 -  56.07 | 0.9144
0117 -  17.23 | 0.9910
0118 -  30.74 | 0.9443
0119 -  86.96 | 0.9184
0120 -  15.53 | 0.9514
0121 -   0.00 | 0.8198
0122 -  72.15 | 0.9721
0123 -  22.25 | 0.9265
0124 -  48.04 | 0.5770
0125 -   0.00 | 0.9472
0126 -   0.00 | 0.9578
0127 -   0.00 | 0.9416
0128 -   0.00 | 0.8900
0129 -  45.27 | 0.8151
0130 -  56.46 | 0.9536
0131 -  73.69 | 0.9567
0132 -  59.86 | 0.8097
0133 -  60.49 | 0.9596
0134 -  68.55 | 0.9547
0135 -  41.94 | 0.9739
0136 -  31.10 | 0.9661
0137 -  12.77 | 0.9661
0138 -   0.00 | 0.8036
0139 -  60.50 | 0.9446
0140 -  25.46 | 0.9108
0141 -  99.69 | 0.8995
0142 -  69.56 | 0.7491
0143 -  75.91 | 0.9537
0144 -  61.05 | 0.9006
0145 -  31.40 | 0.9729
0146 -  49.27 | 0.9700
0147 -  10.96 | 0.8725
0148 -  41.59 | 0.8880
0149 -   0.00 | 0.9618
0150 -  17.09 | 0.8171
0151 -   0.00 | 0.7087
0152 -  99.75 | 0.9532
0153 -  14.75 | 0.9871
0154 -  14.97 | 0.7972
0155 -  56.27 | 0.9213
0156 -   0.00 | 0.9249
0157 -  79.44 | 0.8195
0158 -  52.89 | 0.8845
0159 -  15.82 | 0.9706
0160 -  65.36 | 0.8776
0161 -  54.14 | 0.8759
0162 -  78.45 | 0.9841
0163 -  74.99 | 0.9913
0164 -  20.26 | 0.7400
0165 -   0.00 | 0.9670
0166 -  18.43 | 0.8789
0167 -  52.71 | 0.9400
0168 -  24.12 | 0.8262
0169 -  12.66 | 0.7511
0170 -  39.71 | 0.9467
0171 -  86.75 | 0.9873
0172 -  42.35 | 0.9384
0173 -  56.24 | 0.8530
0174 -   0.00 | 0.7266
0175 -  20.97 | 0.9455
0176 -  14.53 | 0.8488
0177 -  92.12 | 0.8976
0178 -  11.47 | 0.8959
0179 -  33.32 | 0.8762
0180 -  48.86 | 0.8457
0181 -  39.77 | 0.9027
0182 -  12.39 | 0.8850
0183 -  87.71 | 0.9748
0184 -   0.00 | 0.9753
0185 -  36.77 | 0.5950
0186 -   0.00 | 0.7773
0187 - 100.00 | 0.8984
0188 -   0.00 | 0.9495
0189 -  52.11 | 0.9024
0190 -  18.94 | 0.9554
0191 -   6.31 | 0.9777
0192 -   0.00 | 0.7623
0193 -  35.37 | 0.8850
0194 -  67.12 | 0.9537
0195 -  96.66 | 0.9558
0196 -   0.00 | 0.9172
0197 -  99.64 | 0.8856
0198 -   0.00 | 0.6768
0199 -  17.05 | 0.9599
0200 -  14.36 | 0.9076
0201 -  65.82 | 0.8610
0202 -  79.24 | 0.9653
0203 -   0.00 | 0.9663
0204 -   0.00 | 0.8519
0205 -  95.52 | 0.9759
0206 -   8.09 | 0.9843
0207 -  56.45 | 0.9906
0208 -   0.00 | 0.9795
0209 -  60.33 | 0.9273
0210 -  34.77 | 0.9437
0211 -   8.93 | 0.8610
0212 -  46.12 | 0.9069
0213 -  45.31 | 0.8738
0214 -  84.69 | 0.8928
0215 -  83.65 | 0.9590
0216 -   0.00 | 0.9598
0217 -  69.01 | 0.9624
0218 -   0.00 | 0.8418
0219 -   8.28 | 0.9280
0220 -  18.58 | 0.9621
0221 -  48.36 | 0.9859
0222 -   0.00 | 0.8798
0223 -  74.65 | 0.9578
0224 -  46.35 | 0.9488
0225 -   9.99 | 0.8629
0226 -  87.42 | 0.9370
0227 -   7.67 | 0.9639
0228 -  15.22 | 0.9406
0229 -  53.99 | 0.5082
0230 -  11.85 | 0.9216
0231 -  84.66 | 0.9130
0232 -   0.00 | 0.9481
0233 -   0.00 | 0.9311
0234 -  88.94 | 0.9836
0235 -   0.00 | 0.9526
0236 -  28.06 | 0.9774
0237 -   8.96 | 0.9269
0238 -  99.66 | 0.8958
0239 -  99.80 | 0.9209
0240 -  41.78 | 0.8829
0241 -  13.70 | 0.9832
0242 -  75.50 | 0.9589
0243 -   0.00 | 0.9590
0244 -  74.54 | 0.9134
0245 -  60.04 | 0.8237
0246 -   0.00 | 0.8620
0247 -  65.38 | 0.9522
0248 -  94.34 | 0.9741
0249 -  16.44 | 0.9780
0250 -   0.00 | 0.8711
0251 -   0.00 | 0.9674
0252 -  48.27 | 0.8516
0253 -   0.00 | 0.8145
0254 -  17.19 | 0.9868
0255 -  30.17 | 0.8796
