======================
BLEU:            89.29
SIM:            0.9616
======================
         BLEU | SIM
0001 -  75.96 | 0.9578
0002 -  92.72 | 0.9761
0003 -  27.18 | 0.9871
0004 -  16.53 | 0.9460
0005 -  26.36 | 0.9706
0006 -  94.51 | 0.9971
0007 -  84.59 | 0.9736
0008 -  32.63 | 0.9306
0009 -  43.35 | 0.9796
0010 -  90.38 | 0.9813
0011 -  39.41 | 0.9548
0012 -  52.90 | 0.9715
0013 -  67.83 | 0.9782
0014 -  45.57 | 0.9863
0015 -  68.16 | 0.9611
0016 -  90.29 | 0.9600
0017 -  15.40 | 0.9411
0018 -  34.97 | 0.9754
0019 -  36.79 | 0.9862
0020 -  58.97 | 0.9954
0021 -  81.88 | 0.9922
0022 -  93.74 | 0.9586
0023 -  97.54 | 0.9802
0024 -  36.28 | 0.9748
0025 -  45.13 | 0.8846
0026 -  77.03 | 0.9915
0027 -   0.00 | 0.8947
0028 -  61.00 | 0.9699
0029 -   9.04 | 0.9637
0030 -  43.70 | 0.9787
0031 -  11.95 | 0.9935
0032 -  87.73 | 0.9895
0033 -  94.34 | 0.9719
0034 -  21.88 | 0.9738
0035 -   0.00 | 0.9829
0036 -   0.00 | 0.9533
0037 -  12.88 | 0.9188
0038 -  29.56 | 0.9628
0039 -  63.22 | 0.9876
0040 -  45.98 | 0.9910
0041 -  51.75 | 0.9878
0042 -  32.36 | 0.9223
0043 -   0.00 | 0.9958
0044 -  80.38 | 0.9806
0045 -  93.03 | 0.9663
0046 -  30.57 | 0.9642
0047 -  72.96 | 0.5765
0048 -  91.72 | 0.9891
0049 -  58.47 | 0.9831
0050 -  71.18 | 0.9820
0051 -   0.00 | 0.8959
0052 -  14.54 | 0.9691
0053 -  41.68 | 0.9789
0054 -   6.17 | 0.9853
0055 -  92.41 | 0.9570
0056 -  84.64 | 0.9584
0057 -  29.03 | 0.9571
0058 -  49.25 | 0.9519
0059 -  70.99 | 0.9834
0060 -  52.37 | 0.9913
0061 -  96.54 | 0.9893
0062 -  83.71 | 0.9254
0063 -  63.41 | 0.9060
0064 -  52.69 | 0.9912
0065 -  66.21 | 0.9567
0066 -  66.23 | 0.9759
0067 -   9.32 | 0.9888
0068 -  86.10 | 0.9741
0069 -   0.00 | 0.9665
0070 -  23.21 | 0.9939
0071 -  35.13 | 0.9882
0072 -  22.92 | 0.9862
0073 -   0.00 | 0.9177
0074 -  96.92 | 0.9761
0075 -  88.30 | 0.9602
0076 -  27.50 | 0.9875
0077 -  86.71 | 0.9722
0078 -  14.68 | 0.9760
0079 -  29.39 | 0.9780
0080 -  90.20 | 0.9404
0081 -  35.80 | 0.9783
0082 -  66.13 | 0.9794
0083 -  51.45 | 0.9139
0084 -  38.51 | 0.9336
0085 -  15.71 | 0.9825
0086 -  66.20 | 0.8674
0087 -   0.00 | 0.9680
0088 -  92.52 | 0.9867
0089 -  86.57 | 0.9561
0090 -  16.42 | 0.9516
0091 -  72.15 | 0.9199
0092 -  76.42 | 0.9425
0093 -  92.65 | 0.9268
0094 -  70.19 | 0.5428
0095 -  95.17 | 0.9778
0096 -  31.50 | 0.9654
0097 -  78.28 | 0.9820
0098 -  71.00 | 0.9653
0099 -  96.21 | 0.9815
0100 -  61.43 | 0.9650
0101 -  49.40 | 0.9770
0102 -  73.50 | 0.9659
0103 -  42.94 | 0.9478
0104 -  35.76 | 0.9878
0105 -  37.56 | 0.9809
0106 -  53.75 | 0.9657
0107 -  43.14 | 0.9951
0108 -  85.61 | 0.7837
0109 -   0.00 | 0.9856
0110 -  81.92 | 0.9281
0111 -  74.42 | 0.9574
0112 -  59.53 | 0.9692
0113 -  28.37 | 0.9840
0114 -  22.09 | 0.9884
0115 -  90.59 | 0.9670
0116 -  73.59 | 0.9500
0117 -   8.97 | 0.9893
0118 -  61.75 | 0.9731
0119 -  92.22 | 0.9624
0120 -  74.72 | 0.8719
0121 -  39.67 | 0.9821
0122 -  97.19 | 0.9593
0123 -  57.65 | 0.9623
0124 -  93.24 | 0.9852
0125 -  94.43 | 0.9866
0126 -  95.71 | 0.9470
0127 -  66.82 | 0.9463
0128 -  38.51 | 0.9622
0129 -  95.49 | 0.9710
0130 -  94.50 | 0.9834
0131 -   0.00 | 0.9683
0132 -  25.68 | 0.9342
0133 -  65.99 | 0.9588
0134 -   8.93 | 0.9447
0135 -  47.28 | 0.9877
0136 -   0.00 | 0.8366
0137 -  28.28 | 0.9855
0138 -  86.30 | 0.9305
0139 -   0.00 | 0.9696
0140 -  78.30 | 0.8983
0141 -   6.10 | 0.9891
0142 -  47.68 | 0.9932
0143 -  37.49 | 0.9796
0144 -  69.78 | 0.9903
0145 -   0.00 | 0.9487
0146 -  88.26 | 0.9303
0147 -  81.28 | 0.9920
0148 -   8.34 | 0.9808
0149 -  92.30 | 0.9685
0150 -   5.43 | 0.9902
0151 -  23.06 | 0.9762
0152 -  89.37 | 0.9468
0153 -  91.45 | 0.9027
0154 -  24.68 | 0.9731
0155 -  10.50 | 0.9723
0156 -  68.00 | 0.9915
0157 -  93.28 | 0.9387
0158 -  83.76 | 0.9696
0159 -  45.94 | 0.9794
0160 -  43.54 | 0.9573
0161 -  94.55 | 0.9530
0162 -  30.39 | 0.9844
0163 -  60.02 | 0.9836
0164 -  95.40 | 0.9888
0165 -  74.35 | 0.9839
0166 -  32.64 | 0.9908
0167 -  47.19 | 0.9011
0168 -  55.42 | 0.9934
0169 -  91.15 | 0.9750
0170 -  49.24 | 0.9681
0171 -  48.01 | 0.9684
0172 -  89.08 | 0.9759
0173 -  94.51 | 0.9759
0174 -  68.43 | 0.9828
0175 -  82.00 | 0.9660
0176 -  68.91 | 0.9854
0177 -  95.96 | 0.9795
0178 -  67.49 | 0.9067
0179 -  81.03 | 0.9068
0180 -  65.15 | 0.9427
0181 -  95.00 | 0.9563
0182 -   4.52 | 0.9810
0183 -  71.79 | 0.9681
0184 -  50.72 | 0.9643
0185 -  46.25 | 0.9708
0186 -  28.25 | 0.9914
0187 -  20.98 | 0.9351
0188 -  75.07 | 0.9522
0189 -  46.18 | 0.8393
0190 -   0.00 | 0.9573
0191 -  26.97 | 0.9382
0192 -  15.43 | 0.9621
0193 -   7.59 | 0.9417
0194 -  88.87 | 0.9849
0195 -  67.15 | 0.9860
0196 -   0.00 | 0.9791
0197 -  61.29 | 0.9368
0198 -  83.47 | 0.9701
0199 -  90.01 | 0.9279
0200 -  85.16 | 0.9829
0201 -  14.58 | 0.9813
0202 -  57.52 | 0.9657
0203 -  39.37 | 0.9555
0204 -  17.66 | 0.9966
0205 -  90.06 | 0.9525
0206 -  95.43 | 0.9872
0207 -  93.25 | 0.9803
0208 -  71.96 | 0.9572
0209 -  86.54 | 0.9607
0210 -  37.95 | 0.9858
0211 -  24.15 | 0.9738
0212 -  26.06 | 0.9853
0213 -  39.11 | 0.9781
0214 -   6.06 | 0.9590
0215 -  55.93 | 0.9391
0216 -  92.92 | 0.9791
0217 -  79.12 | 0.8300
0218 -  53.38 | 0.9777
0219 -  35.85 | 0.9674
0220 -  59.49 | 0.9054
0221 -  80.99 | 0.8876
0222 -   0.00 | 0.9970
0223 -  46.84 | 0.9340
0224 -  96.57 | 0.9913
0225 -  43.06 | 0.9763
0226 -  66.51 | 0.9619
0227 -   0.00 | 0.9474
0228 -  92.42 | 0.9726
0229 -  31.61 | 0.9843
0230 -  84.37 | 0.9726
0231 -  89.17 | 0.9899
0232 -  12.58 | 0.9694
0233 -  54.65 | 0.9455
0234 -  24.42 | 0.9866
0235 -  58.88 | 0.9237
0236 -   0.00 | 0.9432
0237 -  74.36 | 0.9607
0238 -  64.90 | 0.9814
0239 -  54.76 | 0.9694
0240 -  10.90 | 0.9847
0241 -  41.30 | 0.9782
0242 -   5.43 | 0.9938
0243 -  72.20 | 0.8924
0244 -  25.19 | 0.9861
0245 -   0.00 | 0.9807
0246 -  71.16 | 0.8551
0247 -  96.20 | 0.9895
0248 -  16.74 | 0.9539
0249 -  71.58 | 0.8929
0250 -   0.00 | 0.9854
0251 -  70.04 | 0.9380
0252 -  18.16 | 0.9846
0253 -  15.99 | 0.9725
0254 -  40.80 | 0.9551
0255 -  13.44 | 0.9544
0256 -   9.23 | 0.9792
0257 -  95.18 | 0.9972
0258 -  55.91 | 0.9831
0259 -  88.41 | 0.9441
0260 -  76.54 | 0.8478
0261 -  98.08 | 0.8490
0262 -  30.03 | 0.9997
0263 -  54.82 | 0.8447
0264 -  26.85 | 0.8993
0265 -  88.92 | 0.9439
0266 -  68.25 | 0.9528
0267 -  14.61 | 0.9772
0268 -  93.92 | 0.9288
0269 -  70.55 | 0.9964
0270 -  45.51 | 0.9613
0271 -  18.23 | 0.9753
0272 -  50.56 | 0.9430
0273 -   8.77 | 0.9406
0274 -  94.19 | 0.9840
0275 -  91.83 | 0.9979
0276 -  51.83 | 0.9821
0277 -  97.26 | 0.9796
0278 -  24.32 | 0.9083
0279 -  76.20 | 0.9871
0280 -  49.52 | 0.9955
0281 -   0.00 | 0.9847
0282 -  10.75 | 0.9859
0283 -  50.10 | 0.9776
0284 -  92.45 | 0.9792
0285 -  70.39 | 0.9744
0286 -  71.57 | 0.9785
0287 -  39.82 | 0.9785
0288 -   0.00 | 0.9834
0289 -   0.00 | 0.9738
