==================
SIM GOLD:   0.8274
SIM IN:     0.8534
==================
       GOLD |  IN
0001 - 0.61 | 0.64
0002 - 0.41 | 0.41
0003 - 0.93 | 0.95
0004 - 0.81 | 0.87
0005 - 0.83 | 0.84
0006 - 0.78 | 0.77
0007 - 0.93 | 0.95
0008 - 0.56 | 0.61
0009 - 0.97 | 0.99
0010 - 0.75 | 0.79
0011 - 0.82 | 0.87
0012 - 0.97 | 1.00
0013 - 0.95 | 0.98
0014 - 0.83 | 0.85
0015 - 0.63 | 0.63
0016 - 0.90 | 0.94
0017 - 0.79 | 0.87
0018 - 0.66 | 0.67
0019 - 0.95 | 0.96
0020 - 0.94 | 0.94
0021 - 0.84 | 0.85
0022 - 0.91 | 0.95
0023 - 0.97 | 0.99
0024 - 0.47 | 0.49
0025 - 0.82 | 0.93
0026 - 0.83 | 0.84
0027 - 0.93 | 0.94
0028 - 0.89 | 1.00
0029 - 0.80 | 0.84
0030 - 0.96 | 0.99
0031 - 0.57 | 0.59
0032 - 0.83 | 0.87
0033 - 0.93 | 0.94
0034 - 0.87 | 0.86
0035 - 0.92 | 0.94
0036 - 0.86 | 0.90
0037 - 0.41 | 0.45
0038 - 0.43 | 0.40
0039 - 0.88 | 0.97
0040 - 0.79 | 0.79
0041 - 0.96 | 1.00
0042 - 0.93 | 0.94
0043 - 0.97 | 0.98
0044 - 0.76 | 0.77
0045 - 0.88 | 0.90
0046 - 0.71 | 0.78
0047 - 1.00 | 1.00
0048 - 0.86 | 0.87
0049 - 0.71 | 0.73
0050 - 0.72 | 0.73
0051 - 0.76 | 0.80
0052 - 0.53 | 0.91
0053 - 0.56 | 0.59
0054 - 0.91 | 0.93
0055 - 0.88 | 0.91
0056 - 0.89 | 0.99
0057 - 0.88 | 0.90
0058 - 0.94 | 0.97
0059 - 0.91 | 0.92
0060 - 0.96 | 1.00
0061 - 0.75 | 0.77
0062 - 0.86 | 0.92
0063 - 0.95 | 1.00
0064 - 0.89 | 0.96
0065 - 0.98 | 1.00
0066 - 0.92 | 0.93
0067 - 0.74 | 0.75
0068 - 0.93 | 0.94
0069 - 0.82 | 0.84
0070 - 0.87 | 0.94
0071 - 0.74 | 0.75
0072 - 0.72 | 0.79
0073 - 0.96 | 0.98
0074 - 0.93 | 0.94
0075 - 0.71 | 0.68
0076 - 0.68 | 0.72
0077 - 0.83 | 0.85
0078 - 0.80 | 0.82
0079 - 0.76 | 0.79
0080 - 0.90 | 0.92
0081 - 0.91 | 0.97
0082 - 0.90 | 0.92
0083 - 0.96 | 1.00
0084 - 0.76 | 0.77
0085 - 0.94 | 0.98
0086 - 0.71 | 0.71
0087 - 0.68 | 0.71
0088 - 0.91 | 0.94
0089 - 0.69 | 0.72
0090 - 0.24 | 0.27
0091 - 0.97 | 1.00
0092 - 0.66 | 0.71
0093 - 0.80 | 0.93
0094 - 0.97 | 0.96
0095 - 0.96 | 0.97
0096 - 0.56 | 0.69
0097 - 0.76 | 0.80
0098 - 0.59 | 0.60
0099 - 0.65 | 0.70
0100 - 0.87 | 0.92
0101 - 0.91 | 0.99
0102 - 0.49 | 0.54
0103 - 0.91 | 0.93
0104 - 0.93 | 1.00
0105 - 0.45 | 0.80
0106 - 0.95 | 0.97
0107 - 0.96 | 1.00
0108 - 0.84 | 0.87
0109 - 0.88 | 0.93
0110 - 0.95 | 0.96
0111 - 1.00 | 0.96
0112 - 0.74 | 0.72
0113 - 0.82 | 0.86
0114 - 0.94 | 0.99
0115 - 0.86 | 0.87
0116 - 0.98 | 0.99
0117 - 0.87 | 0.89
0118 - 0.83 | 0.86
0119 - 0.89 | 0.89
0120 - 0.61 | 0.76
0121 - 0.88 | 0.91
0122 - 0.87 | 0.89
0123 - 0.86 | 0.88
0124 - 0.95 | 0.95
0125 - 0.77 | 0.79
0126 - 0.88 | 0.88
0127 - 0.84 | 0.88
0128 - 0.76 | 0.75
0129 - 0.78 | 0.78
0130 - 0.78 | 0.76
0131 - 0.99 | 1.00
0132 - 0.75 | 0.76
0133 - 0.74 | 0.75
0134 - 0.94 | 0.99
0135 - 0.79 | 0.78
0136 - 0.82 | 0.83
0137 - 0.77 | 0.76
0138 - 0.54 | 0.55
0139 - 0.78 | 0.90
0140 - 0.81 | 0.85
0141 - 0.84 | 0.87
0142 - 0.84 | 0.87
0143 - 0.93 | 0.95
0144 - 0.94 | 0.96
0145 - 0.89 | 0.95
0146 - 0.73 | 0.70
0147 - 0.87 | 0.91
0148 - 0.75 | 0.80
0149 - 0.60 | 0.61
0150 - 0.16 | 0.16
0151 - 0.76 | 0.79
0152 - 0.84 | 0.90
0153 - 0.77 | 0.83
0154 - 0.80 | 0.86
0155 - 0.88 | 0.90
0156 - 0.60 | 0.60
0157 - 0.81 | 0.84
0158 - 0.71 | 0.85
0159 - 0.92 | 0.93
0160 - 0.86 | 0.88
0161 - 0.76 | 0.76
0162 - 0.94 | 0.93
0163 - 0.83 | 0.81
0164 - 0.73 | 0.74
0165 - 0.56 | 0.61
0166 - 0.90 | 0.93
0167 - 0.88 | 0.96
0168 - 0.86 | 0.85
0169 - 0.86 | 0.87
0170 - 0.52 | 0.53
0171 - 0.94 | 0.95
0172 - 0.84 | 0.86
0173 - 0.84 | 0.91
0174 - 0.57 | 0.58
0175 - 0.98 | 1.00
0176 - 0.85 | 0.87
0177 - 0.84 | 0.85
0178 - 0.96 | 0.98
0179 - 0.81 | 0.87
0180 - 0.67 | 0.63
0181 - 0.85 | 0.89
0182 - 0.65 | 0.63
0183 - 0.87 | 0.87
0184 - 0.80 | 0.78
0185 - 0.97 | 1.00
0186 - 0.88 | 0.91
0187 - 0.93 | 0.95
0188 - 0.73 | 0.78
0189 - 0.74 | 0.75
0190 - 0.96 | 0.97
0191 - 0.80 | 0.79
0192 - 0.89 | 0.91
0193 - 0.89 | 0.91
0194 - 0.87 | 0.88
0195 - 0.88 | 0.98
0196 - 0.94 | 0.94
0197 - 0.79 | 0.81
0198 - 0.67 | 0.72
