==============================================
BLEU GOLD:                               20.78
BLEU IN:                                 31.26
SIM GOLD:                               0.7955
SIM IN:                                 0.8661
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      8.05 |   10.36 |     0.88 |   0.90
0002 -     39.36 |   38.17 |     0.94 |   0.98
0003 -     92.19 |   96.38 |     0.84 |   1.00
0004 -     39.96 |   41.43 |     0.83 |   0.77
0005 -     28.58 |   22.59 |     0.94 |   0.97
0006 -     67.90 |   98.90 |     0.86 |   0.99
0007 -     15.79 |    0.00 |     0.74 |   0.76
0008 -      0.00 |    0.00 |     0.60 |   0.78
0009 -      0.00 |   34.34 |     0.64 |   0.73
0010 -      0.00 |   13.63 |     0.92 |   0.94
0011 -     20.09 |   15.39 |     0.80 |   0.96
0012 -     25.63 |   27.97 |     0.87 |   0.93
0013 -      0.00 |    0.00 |     0.96 |   1.00
0014 -      0.00 |    0.00 |     0.72 |   0.94
0015 -      0.00 |    0.00 |     0.89 |   0.94
0016 -      6.51 |    0.00 |     0.76 |   0.94
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |   45.05 |     0.70 |   0.78
0019 -      0.00 |    5.69 |     0.94 |   0.97
0020 -     53.70 |  100.00 |     0.86 |   1.00
0021 -     77.13 |   98.16 |     0.95 |   0.98
0022 -      0.00 |   22.74 |     0.89 |   0.93
0023 -      0.00 |   99.16 |     0.92 |   1.00
0024 -     32.68 |   34.04 |     0.87 |   0.87
0025 -     20.74 |   19.60 |     0.69 |   0.77
0026 -     76.18 |   78.88 |     0.95 |   0.96
0027 -     39.94 |   86.87 |     0.85 |   0.89
0028 -     11.48 |   10.26 |     0.87 |   0.91
0029 -     62.83 |   63.71 |     0.93 |   0.98
0030 -      0.00 |    0.00 |     0.97 |   0.97
0031 -      0.00 |   11.64 |     0.73 |   0.78
0032 -     17.64 |   69.38 |     0.87 |   0.93
0033 -     44.14 |   86.76 |     0.87 |   1.00
0034 -      0.00 |    0.00 |     0.83 |   0.86
0035 -     32.84 |   29.03 |     0.79 |   0.88
0036 -      0.00 |    0.00 |     0.91 |   0.93
0037 -      7.49 |   20.66 |     0.87 |   1.00
0038 -     26.29 |   97.70 |     0.93 |   0.98
0039 -      0.00 |    0.00 |     0.78 |   0.81
0040 -      0.00 |    0.00 |     0.78 |   0.86
0041 -     47.76 |  100.00 |     0.93 |   1.00
0042 -     76.64 |  100.00 |     0.91 |   1.00
0043 -      0.00 |   39.17 |     0.85 |   0.86
0044 -      0.00 |    0.00 |     0.89 |   0.94
0045 -     38.95 |   32.77 |     0.89 |   0.97
0046 -     50.38 |    6.60 |     0.71 |   0.75
0047 -     18.16 |   12.67 |     0.61 |   0.65
0048 -     28.73 |   20.14 |     0.90 |   0.95
0049 -     57.99 |   97.94 |     0.98 |   1.00
0050 -     42.15 |   84.93 |     0.88 |   0.94
0051 -     20.40 |   71.05 |     0.90 |   0.95
0052 -     44.90 |   26.34 |     0.94 |   0.98
0053 -      0.00 |    0.00 |     0.47 |   0.60
0054 -      0.00 |    0.00 |     0.84 |   0.91
0055 -      0.00 |    0.00 |     0.80 |   0.76
0056 -      0.00 |    0.00 |     0.80 |   0.82
0057 -     17.11 |   16.46 |     0.90 |   0.87
0058 -      0.00 |    0.00 |     0.82 |   0.82
0059 -      0.00 |    0.00 |     0.79 |   0.97
0060 -     23.78 |   20.67 |     0.91 |   0.96
0061 -     89.31 |   13.62 |     0.99 |   0.99
