==============================================
BLEU GOLD:                               79.56
BLEU IN:                                 88.84
SIM GOLD:                               0.9415
SIM IN:                                 0.9763
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     71.26 |   96.44 |     0.95 |   1.00
0002 -     92.47 |   99.74 |     0.95 |   0.97
0003 -     26.24 |   81.07 |     0.96 |   0.97
0004 -      0.00 |    0.00 |     0.87 |   0.93
0005 -     24.93 |  100.00 |     0.97 |   1.00
0006 -     94.51 |  100.00 |     1.00 |   1.00
0007 -     41.15 |   58.54 |     0.75 |   0.78
0008 -     31.46 |   75.78 |     0.92 |   0.97
0009 -     43.81 |  100.00 |     0.98 |   1.00
0010 -      0.00 |    0.00 |     0.97 |   0.99
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     49.16 |   54.58 |     0.97 |   1.00
0013 -     33.91 |   35.17 |     0.98 |   1.00
0014 -     45.16 |  100.00 |     0.99 |   1.00
0015 -     74.93 |   52.16 |     0.94 |   0.98
0016 -     74.57 |   75.31 |     0.94 |   0.99
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -      0.00 |    0.00 |     0.92 |   0.94
0019 -     35.42 |  100.00 |     0.99 |   1.00
0020 -     66.67 |   25.93 |     0.99 |   0.99
0021 -     20.81 |    0.00 |     0.99 |   1.00
0022 -     89.11 |   87.63 |     0.95 |   1.00
0023 -     14.37 |   16.86 |     0.97 |   0.99
0024 -     35.02 |  100.00 |     0.97 |   1.00
0025 -     46.98 |  100.00 |     0.88 |   1.00
0026 -      0.00 |    0.00 |     0.99 |   1.00
0027 -      0.00 |  100.00 |     0.89 |   1.00
0028 -     60.77 |  100.00 |     0.97 |   1.00
0029 -      8.67 |  100.00 |     0.96 |   1.00
0030 -     32.47 |    0.00 |     0.95 |   0.97
0031 -      0.00 |    0.00 |     0.98 |   0.98
0032 -     87.18 |  100.00 |     0.99 |   1.00
0033 -      0.00 |    0.00 |     0.88 |   0.90
0034 -     74.09 |   47.06 |     0.97 |   1.00
0035 -      0.00 |  100.00 |     0.98 |   1.00
0036 -      0.00 |  100.00 |     0.95 |   1.00
0037 -     12.34 |  100.00 |     0.92 |   1.00
0038 -     28.30 |  100.00 |     0.96 |   1.00
0039 -     62.96 |  100.00 |     0.98 |   1.00
