==================
SIM GOLD:   0.9156
SIM IN:     0.9478
==================
       GOLD |  IN
0001 - 0.91 | 0.96
0002 - 0.68 | 0.68
0003 - 0.87 | 0.88
0004 - 0.93 | 0.95
0005 - 0.97 | 1.00
0006 - 0.98 | 0.98
0007 - 0.75 | 0.78
0008 - 0.84 | 0.87
0009 - 0.97 | 0.99
0010 - 0.97 | 0.99
0011 - 0.95 | 1.00
0012 - 0.97 | 1.00
0013 - 0.91 | 0.93
0014 - 0.96 | 0.98
0015 - 0.91 | 0.94
0016 - 0.96 | 1.00
0017 - 0.93 | 0.99
0018 - 0.79 | 0.81
0019 - 0.99 | 1.00
0020 - 0.97 | 0.97
0021 - 0.97 | 0.98
0022 - 0.96 | 1.00
0023 - 0.97 | 0.99
0024 - 0.94 | 0.97
0025 - 0.84 | 0.95
0026 - 0.85 | 0.86
0027 - 0.91 | 0.92
0028 - 0.89 | 0.99
0029 - 0.87 | 0.88
0030 - 0.97 | 1.00
0031 - 0.96 | 1.00
0032 - 0.88 | 0.90
0033 - 0.97 | 0.98
0034 - 0.98 | 0.99
0035 - 0.94 | 0.96
0036 - 0.93 | 0.96
0037 - 0.60 | 0.62
0038 - 0.95 | 1.00
0039 - 0.92 | 1.00
0040 - 0.83 | 0.84
0041 - 0.96 | 1.00
0042 - 0.97 | 0.99
0043 - 0.99 | 1.00
0044 - 0.79 | 0.80
0045 - 0.94 | 0.95
0046 - 0.87 | 0.95
0047 - 1.00 | 1.00
0048 - 0.92 | 0.92
0049 - 0.93 | 0.96
0050 - 0.97 | 1.00
0051 - 0.92 | 0.96
0052 - 0.58 | 1.00
0053 - 0.93 | 0.94
0054 - 0.98 | 1.00
0055 - 0.77 | 0.81
0056 - 0.90 | 1.00
0057 - 0.97 | 1.00
0058 - 0.93 | 0.95
0059 - 0.77 | 0.81
0060 - 0.95 | 0.99
0061 - 0.87 | 0.88
0062 - 0.96 | 1.00
0063 - 0.94 | 0.98
0064 - 0.91 | 0.96
0065 - 0.98 | 1.00
0066 - 0.99 | 1.00
0067 - 0.84 | 0.86
0068 - 0.99 | 1.00
0069 - 0.93 | 1.00
0070 - 0.89 | 0.99
0071 - 0.97 | 0.97
0072 - 0.95 | 0.99
