==============================================
BLEU GOLD:                               27.41
BLEU IN:                                 46.70
SIM GOLD:                               0.8591
SIM IN:                                 0.9411
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.76 |   0.83
0002 -     82.53 |   76.29 |     0.94 |   0.97
0003 -     97.89 |   98.40 |     0.84 |   0.99
0004 -     36.97 |   32.95 |     0.89 |   0.94
0005 -     57.51 |  100.00 |     0.96 |   1.00
0006 -      0.00 |    0.00 |     0.85 |   0.98
0007 -     19.99 |   16.15 |     0.77 |   0.82
0008 -      0.00 |   34.56 |     0.68 |   0.87
0009 -      0.00 |    0.00 |     0.81 |   0.96
0010 -     11.38 |   95.77 |     0.98 |   0.99
0011 -     86.14 |   69.14 |     0.82 |   0.94
0012 -     68.21 |  100.00 |     0.95 |   1.00
0013 -     77.30 |   99.16 |     0.96 |   0.99
0014 -      0.00 |    0.00 |     0.75 |   0.96
0015 -     51.01 |   50.78 |     0.91 |   0.96
0016 -     41.84 |   35.78 |     0.80 |   0.98
0017 -      0.00 |   49.72 |     0.55 |   0.94
0018 -      0.00 |    0.00 |     0.92 |   1.00
0019 -      0.00 |   94.74 |     0.95 |   0.98
0020 -     48.15 |   43.98 |     0.85 |   1.00
0021 -     80.85 |  100.00 |     0.96 |   1.00
0022 -      0.00 |    0.00 |     0.94 |   0.98
0023 -      0.00 |   99.16 |     0.91 |   0.98
0024 -     59.40 |   59.36 |     0.98 |   0.99
0025 -     10.93 |   10.57 |     0.81 |   0.86
0026 -     97.20 |  100.00 |     0.99 |   1.00
0027 -      0.00 |    0.00 |     0.75 |   0.77
0028 -     98.43 |   99.36 |     0.92 |   1.00
0029 -     61.38 |   64.65 |     0.91 |   0.96
0030 -      0.00 |    0.00 |     0.89 |   0.88
0031 -     57.11 |   98.31 |     0.87 |   0.93
0032 -     17.64 |   98.45 |     0.86 |   0.94
0033 -     19.93 |   65.85 |     0.87 |   1.00
0034 -      0.00 |   22.04 |     0.84 |   0.86
0035 -     38.17 |   33.64 |     0.82 |   0.93
0036 -     16.12 |   98.91 |     0.97 |   0.98
0037 -      7.40 |   19.35 |     0.82 |   0.97
0038 -     31.13 |   14.18 |     0.94 |   0.99
0039 -     26.93 |   21.10 |     0.94 |   1.00
0040 -     38.46 |   27.57 |     0.90 |   1.00
0041 -     47.76 |  100.00 |     0.93 |   1.00
0042 -     76.41 |   95.05 |     0.83 |   0.92
0043 -     19.87 |    7.50 |     0.93 |   0.94
0044 -     45.57 |   34.70 |     0.92 |   1.00
0045 -     36.96 |   33.58 |     0.89 |   0.98
0046 -      0.00 |    0.00 |     0.86 |   0.89
0047 -     19.15 |    0.00 |     0.90 |   0.99
0048 -     25.98 |   18.47 |     0.88 |   0.95
0049 -     49.63 |    9.28 |     0.98 |   0.99
0050 -     45.68 |   93.60 |     0.88 |   0.93
0051 -     19.15 |   42.23 |     0.90 |   0.97
0052 -     70.95 |  100.00 |     0.95 |   1.00
0053 -      0.00 |    0.00 |     0.70 |   0.83
0054 -      0.00 |    0.00 |     0.90 |   0.90
0055 -     39.80 |    0.00 |     0.94 |   0.86
0056 -     14.08 |   14.01 |     0.66 |   0.68
0057 -      7.78 |    7.42 |     0.96 |   0.93
0058 -      0.00 |    0.00 |     0.69 |   0.69
0059 -     81.00 |  100.00 |     0.83 |   1.00
0060 -      0.00 |    0.00 |     0.92 |   0.96
0061 -     17.12 |   93.87 |     0.97 |   0.97
0062 -     79.31 |   54.03 |     0.96 |   0.99
0063 -     25.80 |   89.16 |     0.87 |   0.92
0064 -     59.93 |   86.10 |     0.87 |   0.96
0065 -      5.99 |    6.73 |     0.90 |   0.92
0066 -     43.38 |   92.26 |     0.93 |   1.00
0067 -     63.12 |   95.15 |     0.98 |   0.99
0068 -      0.00 |    0.00 |     0.61 |   0.80
0069 -      0.00 |   44.01 |     0.89 |   0.96
0070 -     63.09 |    0.00 |     0.89 |   0.92
0071 -      0.00 |    0.00 |     0.77 |   0.79
0072 -     27.43 |   31.21 |     0.83 |   0.99
0073 -      0.00 |    0.00 |     0.79 |   0.75
0074 -      0.00 |    0.00 |     0.71 |   0.79
0075 -     31.82 |   33.24 |     0.88 |   0.93
0076 -     36.93 |   28.96 |     0.84 |   0.98
0077 -     48.25 |   55.41 |     0.68 |   0.70
0078 -      0.00 |    0.00 |     0.85 |   0.96
0079 -      0.00 |   92.76 |     0.94 |   0.97
0080 -     66.36 |  100.00 |     0.94 |   1.00
0081 -     72.28 |   86.44 |     0.93 |   0.99
0082 -      0.00 |   93.84 |     0.84 |   0.89
0083 -     14.80 |    0.00 |     0.94 |   0.96
0084 -     19.94 |   55.23 |     0.84 |   0.99
0085 -     11.24 |   54.37 |     0.65 |   0.86
0086 -      0.00 |  100.00 |     0.89 |   1.00
0087 -     81.95 |  100.00 |     0.90 |   1.00
0088 -     14.92 |    0.00 |     0.91 |   0.91
0089 -     45.28 |   20.96 |     0.88 |   0.89
0090 -     63.35 |   88.84 |     0.83 |   0.99
0091 -     13.76 |   55.85 |     0.75 |   0.71
0092 -     53.78 |   83.33 |     0.95 |   0.99
0093 -     10.67 |    0.00 |     0.85 |   0.96
0094 -      4.69 |    0.00 |     0.83 |   0.90
0095 -     98.06 |  100.00 |     0.94 |   1.00
0096 -      0.00 |    0.00 |     0.91 |   0.96
0097 -      0.00 |    0.00 |     0.69 |   0.72
0098 -     13.80 |   31.63 |     0.79 |   0.85
0099 -     76.50 |  100.00 |     0.87 |   1.00
0100 -     34.02 |   51.10 |     0.64 |   0.96
0101 -     39.95 |  100.00 |     0.84 |   1.00
0102 -      0.00 |    0.00 |     0.85 |   0.88
0103 -     60.65 |    0.00 |     0.94 |   0.96
0104 -     49.64 |  100.00 |     0.95 |   1.00
0105 -     12.01 |   10.08 |     0.93 |   1.00
0106 -      0.00 |    0.00 |     0.92 |   0.94
0107 -     25.01 |    0.00 |     0.82 |   0.88
0108 -      0.00 |    0.00 |     0.61 |   0.70
0109 -      0.00 |    0.00 |     0.88 |   0.94
0110 -      0.00 |    0.00 |     0.81 |   0.87
0111 -     56.54 |  100.00 |     0.95 |   1.00
0112 -      0.00 |    0.00 |     0.92 |   0.98
0113 -     15.34 |   14.18 |     0.92 |   0.95
0114 -      8.82 |    8.99 |     0.89 |   0.88
0115 -     66.04 |  100.00 |     0.99 |   1.00
0116 -     55.21 |   97.80 |     0.78 |   0.86
0117 -     18.71 |   88.31 |     0.98 |   0.99
0118 -     13.46 |   12.84 |     0.92 |   0.98
0119 -      0.00 |    0.00 |     0.88 |   0.94
0120 -      0.00 |    0.00 |     0.94 |   0.97
0121 -      0.00 |    0.00 |     0.82 |   0.97
0122 -     52.44 |   50.30 |     0.89 |   0.94
0123 -     25.30 |   62.45 |     0.92 |   0.98
0124 -     43.07 |  100.00 |     0.58 |   1.00
0125 -      0.00 |    0.00 |     0.93 |   0.98
0126 -      0.00 |   55.82 |     0.90 |   0.93
0127 -     71.34 |  100.00 |     0.94 |   1.00
0128 -      6.58 |    0.00 |     0.89 |   1.00
0129 -     11.66 |   12.80 |     0.73 |   0.94
0130 -     15.63 |   14.78 |     0.93 |   0.97
0131 -     67.68 |   88.68 |     0.96 |   0.99
0132 -     59.76 |  100.00 |     0.81 |   1.00
0133 -     16.69 |   56.44 |     0.96 |   1.00
0134 -     12.56 |   12.73 |     0.91 |   0.96
0135 -     42.63 |   57.31 |     0.95 |   0.97
0136 -     31.72 |   97.26 |     0.88 |   0.92
0137 -     13.11 |   90.84 |     0.90 |   0.94
