==============================================
BLEU GOLD:                               41.66
BLEU IN:                                 59.73
SIM GOLD:                               0.9287
SIM IN:                                 0.9644
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.95 |   0.99
0002 -      8.39 |    8.39 |     0.86 |   0.88
0003 -     46.14 |   80.83 |     0.93 |   0.94
0004 -      0.00 |    0.00 |     0.93 |   0.98
0005 -     29.57 |   84.63 |     0.97 |   0.99
0006 -     94.63 |  100.00 |     1.00 |   1.00
0007 -     83.36 |   97.80 |     0.75 |   0.78
0008 -     36.80 |   78.95 |     0.92 |   0.97
0009 -     56.09 |   62.58 |     0.98 |   1.00
0010 -      0.00 |    0.00 |     0.97 |   0.99
0011 -     89.23 |  100.00 |     0.95 |   1.00
0012 -     46.82 |   52.35 |     0.94 |   0.96
0013 -     41.46 |   40.84 |     0.92 |   0.95
0014 -     58.49 |   85.47 |     0.95 |   0.97
0015 -     67.52 |   76.22 |     0.69 |   0.72
0016 -     90.05 |  100.00 |     0.96 |   1.00
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -     94.81 |  100.00 |     0.98 |   1.00
0019 -     32.80 |   96.77 |     0.97 |   0.98
0020 -     53.75 |   91.50 |     0.98 |   0.99
0021 -     37.47 |   55.41 |     0.99 |   1.00
0022 -      0.00 |    0.00 |     0.94 |   0.99
0023 -     15.99 |   18.65 |     0.92 |   0.94
0024 -     42.83 |  100.00 |     0.97 |   1.00
0025 -      0.00 |    0.00 |     0.88 |   1.00
0026 -      0.00 |    0.00 |     0.99 |   1.00
0027 -      0.00 |    0.00 |     0.89 |   0.99
0028 -     59.46 |   98.18 |     0.97 |   1.00
0029 -      7.59 |   14.40 |     0.94 |   0.97
0030 -     21.20 |   72.57 |     0.92 |   0.94
0031 -      0.00 |    3.90 |     0.98 |   0.99
0032 -     13.60 |    0.00 |     0.98 |   0.99
0033 -      0.00 |    0.00 |     0.96 |   0.97
0034 -     58.53 |   43.09 |     0.92 |   0.94
0035 -      0.00 |  100.00 |     0.98 |   1.00
0036 -     94.44 |  100.00 |     0.95 |   1.00
0037 -     13.29 |  100.00 |     0.92 |   1.00
0038 -     39.43 |  100.00 |     0.96 |   1.00
0039 -     60.64 |   95.58 |     0.97 |   0.98
0040 -     49.53 |  100.00 |     0.99 |   1.00
0041 -      0.00 |    0.00 |     0.94 |   0.96
0042 -     29.01 |   49.42 |     0.92 |   0.99
0043 -      0.00 |  100.00 |     1.00 |   1.00
0044 -      0.00 |    0.00 |     0.81 |   0.85
0045 -     94.07 |  100.00 |     0.97 |   1.00
0046 -     32.69 |   99.23 |     0.95 |   0.99
0047 -     65.48 |  100.00 |     0.58 |   1.00
0048 -      0.00 |    0.00 |     0.95 |   0.96
0049 -     63.72 |  100.00 |     0.98 |   1.00
0050 -     68.15 |   96.89 |     0.97 |   0.99
0051 -      0.00 |   15.60 |     0.85 |   0.92
0052 -     16.36 |  100.00 |     0.97 |   1.00
0053 -     42.31 |  100.00 |     0.98 |   1.00
0054 -      0.00 |    0.00 |     0.84 |   0.86
0055 -     89.68 |  100.00 |     0.96 |   1.00
0056 -     84.08 |  100.00 |     0.96 |   1.00
0057 -     29.63 |   89.20 |     0.90 |   0.95
0058 -     60.95 |   77.31 |     0.91 |   0.96
0059 -     73.64 |  100.00 |     0.98 |   1.00
0060 -      0.00 |    0.00 |     0.94 |   0.96
0061 -     92.61 |   97.17 |     0.98 |   0.99
0062 -      0.00 |    0.00 |     0.93 |   1.00
0063 -     38.69 |   37.98 |     0.88 |   0.96
0064 -      5.06 |    4.98 |     0.96 |   0.97
0065 -     60.49 |   91.21 |     0.95 |   0.99
0066 -     63.72 |   92.99 |     0.95 |   0.97
0067 -      0.00 |    0.00 |     0.97 |   0.98
0068 -     47.74 |   47.74 |     0.85 |   0.91
0069 -     31.11 |   70.90 |     0.90 |   0.94
0070 -      0.00 |    6.48 |     0.95 |   0.96
0071 -      0.00 |    0.00 |     0.90 |   0.91
0072 -     26.36 |  100.00 |     0.99 |   1.00
0073 -      0.00 |    0.00 |     0.87 |   0.90
0074 -     30.94 |   31.59 |     0.97 |   0.99
0075 -     89.33 |   99.62 |     0.96 |   1.00
0076 -     28.03 |  100.00 |     0.99 |   1.00
0077 -     79.33 |  100.00 |     0.97 |   1.00
0078 -      0.00 |    0.00 |     0.61 |   0.64
0079 -     34.83 |   96.68 |     0.94 |   0.97
0080 -     91.05 |  100.00 |     0.94 |   1.00
0081 -     36.72 |  100.00 |     0.98 |   1.00
0082 -     68.17 |   99.49 |     0.98 |   1.00
0083 -     12.27 |   12.55 |     0.75 |   0.80
0084 -     78.75 |   97.64 |     0.87 |   0.94
0085 -      0.00 |    0.00 |     0.88 |   0.86
0086 -     88.51 |  100.00 |     0.87 |   1.00
0087 -      0.00 |   38.49 |     0.85 |   0.88
0088 -      0.00 |    0.00 |     0.97 |   0.98
0089 -     87.55 |  100.00 |     0.88 |   0.92
0090 -     85.58 |   98.73 |     0.89 |   0.94
0091 -     91.56 |  100.00 |     0.92 |   1.00
0092 -     66.25 |  100.00 |     0.94 |   1.00
0093 -     92.91 |  100.00 |     0.93 |   1.00
0094 -     72.61 |  100.00 |     0.54 |   1.00
0095 -     93.99 |   98.61 |     0.96 |   0.98
0096 -      0.00 |    0.00 |     0.97 |   1.00
0097 -     73.38 |   76.27 |     0.90 |   0.92
0098 -     65.78 |   64.21 |     0.95 |   0.99
0099 -      0.00 |    0.00 |     0.98 |   1.00
0100 -      0.00 |   39.39 |     0.88 |   0.85
0101 -     55.61 |   91.55 |     0.87 |   0.89
0102 -     73.34 |   93.92 |     0.88 |   0.92
0103 -     85.46 |   40.48 |     0.90 |   0.96
0104 -     23.47 |   24.36 |     0.98 |   0.99
0105 -     22.48 |   20.16 |     0.96 |   0.98
0106 -     50.58 |  100.00 |     0.97 |   1.00
0107 -     48.96 |    0.00 |     0.95 |   0.96
0108 -      0.00 |    0.00 |     0.73 |   0.95
0109 -      0.00 |   97.17 |     0.98 |   1.00
0110 -     79.93 |   98.70 |     0.93 |   1.00
0111 -     73.15 |   90.65 |     0.93 |   0.97
0112 -     67.64 |   63.35 |     0.93 |   0.97
0113 -      0.00 |    3.77 |     0.92 |   0.94
0114 -     22.67 |  100.00 |     0.99 |   1.00
0115 -      0.00 |    0.00 |     0.81 |   0.84
0116 -     75.31 |  100.00 |     0.95 |   1.00
0117 -      7.15 |   10.78 |     0.89 |   0.90
0118 -     27.82 |   25.24 |     0.96 |   0.98
0119 -     19.84 |   19.36 |     0.79 |   0.82
0120 -     50.36 |   71.33 |     0.87 |   1.00
0121 -     57.39 |   81.35 |     0.94 |   0.96
0122 -     96.56 |  100.00 |     0.94 |   0.99
0123 -     58.05 |  100.00 |     0.96 |   1.00
0124 -     94.77 |  100.00 |     0.99 |   1.00
0125 -     87.60 |   93.92 |     0.96 |   0.97
0126 -     95.88 |  100.00 |     0.95 |   1.00
0127 -     57.20 |   70.72 |     0.93 |   0.98
0128 -     37.35 |  100.00 |     0.96 |   1.00
0129 -     93.27 |   97.47 |     0.97 |   0.98
0130 -     11.98 |   12.26 |     0.98 |   0.99
0131 -      0.00 |    0.00 |     0.85 |   0.89
0132 -     30.10 |   92.53 |     0.92 |   0.98
0133 -     53.54 |   52.99 |     0.91 |   0.95
0134 -     11.61 |   87.42 |     0.94 |   0.99
0135 -     54.97 |   90.64 |     0.95 |   0.96
0136 -      0.00 |    0.00 |     0.83 |   0.99
0137 -     94.34 |   22.59 |     0.97 |   0.98
0138 -     17.38 |   18.06 |     0.91 |   0.98
0139 -      0.00 |    0.00 |     0.89 |   0.92
0140 -     78.99 |  100.00 |     0.90 |   1.00
0141 -     55.97 |   53.93 |     0.99 |   1.00
0142 -      0.00 |   34.13 |     0.98 |   0.99
0143 -     37.39 |   89.00 |     0.97 |   0.99
0144 -     50.19 |   39.24 |     0.96 |   0.97
0145 -      0.00 |    0.00 |     0.88 |   0.92
0146 -      0.00 |    0.00 |     0.90 |   0.97
0147 -     75.81 |   98.59 |     0.92 |   0.93
0148 -     10.34 |  100.00 |     0.98 |   1.00
0149 -     93.68 |  100.00 |     0.97 |   1.00
0150 -      7.31 |   99.07 |     0.96 |   0.97
0151 -     74.61 |    0.00 |     0.96 |   0.98
0152 -      0.00 |    0.00 |     0.95 |   1.00
0153 -     82.17 |   91.05 |     0.90 |   0.99
0154 -     25.91 |   98.15 |     0.93 |   0.97
0155 -     35.22 |    0.00 |     0.97 |   1.00
0156 -     98.39 |  100.00 |     0.99 |   1.00
0157 -     91.85 |   99.32 |     0.94 |   1.00
0158 -     84.51 |  100.00 |     0.97 |   1.00
0159 -      4.97 |    0.00 |     0.85 |   0.88
0160 -      0.00 |    0.00 |     0.92 |   0.96
0161 -     92.30 |   99.27 |     0.93 |   0.97
0162 -     28.64 |   98.89 |     0.97 |   0.98
0163 -     63.25 |  100.00 |     0.98 |   1.00
0164 -     50.72 |   55.81 |     0.90 |   0.91
0165 -      0.00 |    0.00 |     0.92 |   0.91
0166 -     34.46 |   69.01 |     0.98 |   0.98
0167 -     27.57 |   27.81 |     0.83 |   0.89
