==================
SIM GOLD:   0.9254
SIM IN:     0.9566
==================
       GOLD |  IN
0001 - 0.96 | 1.00
0002 - 0.95 | 0.97
0003 - 0.96 | 0.97
0004 - 0.79 | 0.84
0005 - 0.97 | 1.00
0006 - 1.00 | 1.00
0007 - 0.75 | 0.78
0008 - 0.93 | 1.00
0009 - 0.97 | 0.99
0010 - 0.98 | 1.00
0011 - 0.95 | 1.00
0012 - 0.95 | 0.98
0013 - 0.98 | 1.00
0014 - 0.99 | 1.00
0015 - 0.90 | 0.88
0016 - 0.95 | 0.99
0017 - 0.93 | 0.99
0018 - 0.98 | 1.00
0019 - 0.99 | 1.00
0020 - 0.99 | 0.99
0021 - 0.99 | 1.00
0022 - 0.96 | 1.00
0023 - 0.94 | 0.95
0024 - 0.97 | 1.00
0025 - 0.88 | 1.00
0026 - 0.88 | 0.89
0027 - 0.99 | 1.00
0028 - 0.89 | 1.00
0029 - 0.73 | 0.75
0030 - 0.97 | 1.00
0031 - 0.92 | 0.95
0032 - 0.78 | 0.78
0033 - 0.97 | 0.97
0034 - 0.99 | 1.00
0035 - 0.97 | 1.00
0036 - 0.97 | 1.00
0037 - 0.98 | 1.00
0038 - 0.95 | 1.00
0039 - 0.92 | 1.00
0040 - 0.88 | 0.88
0041 - 0.96 | 1.00
0042 - 0.98 | 1.00
0043 - 0.99 | 1.00
0044 - 0.78 | 0.78
0045 - 0.98 | 0.99
0046 - 0.92 | 1.00
0047 - 1.00 | 1.00
0048 - 0.92 | 0.92
0049 - 0.93 | 0.96
0050 - 0.97 | 1.00
0051 - 0.96 | 1.00
0052 - 0.58 | 1.00
0053 - 0.96 | 0.96
0054 - 0.98 | 1.00
0055 - 0.98 | 1.00
0056 - 0.90 | 1.00
0057 - 0.97 | 1.00
0058 - 0.86 | 0.90
0059 - 0.97 | 0.99
0060 - 0.96 | 1.00
0061 - 0.82 | 0.82
0062 - 0.96 | 1.00
0063 - 0.96 | 1.00
0064 - 0.95 | 1.00
0065 - 0.99 | 0.99
0066 - 0.95 | 0.98
0067 - 0.87 | 0.88
0068 - 0.97 | 0.98
0069 - 0.93 | 1.00
0070 - 0.89 | 0.99
0071 - 0.99 | 1.00
0072 - 0.95 | 0.99
0073 - 0.98 | 1.00
0074 - 0.85 | 0.86
0075 - 0.88 | 0.92
0076 - 0.82 | 0.88
0077 - 0.97 | 1.00
0078 - 0.92 | 0.93
0079 - 0.98 | 0.99
0080 - 0.99 | 1.00
0081 - 0.92 | 1.00
0082 - 0.91 | 0.94
0083 - 0.96 | 1.00
0084 - 0.99 | 1.00
0085 - 0.97 | 1.00
0086 - 0.76 | 0.76
0087 - 0.94 | 0.96
0088 - 0.94 | 0.96
0089 - 0.94 | 1.00
0090 - 0.98 | 1.00
0091 - 0.98 | 1.00
0092 - 0.91 | 1.00
0093 - 0.93 | 1.00
0094 - 0.97 | 0.99
0095 - 0.65 | 0.66
0096 - 0.64 | 0.77
0097 - 0.97 | 1.00
0098 - 0.99 | 1.00
0099 - 0.96 | 1.00
0100 - 0.92 | 0.98
0101 - 0.95 | 0.88
0102 - 0.94 | 1.00
0103 - 0.92 | 0.94
0104 - 0.93 | 1.00
0105 - 0.54 | 1.00
0106 - 0.95 | 0.98
0107 - 0.96 | 1.00
0108 - 0.98 | 1.00
0109 - 0.97 | 1.00
0110 - 0.98 | 1.00
0111 - 1.00 | 0.96
0112 - 0.73 | 0.75
0113 - 0.81 | 0.84
0114 - 0.95 | 1.00
0115 - 0.88 | 0.88
0116 - 0.99 | 1.00
0117 - 0.96 | 0.98
0118 - 0.97 | 1.00
0119 - 0.96 | 0.96
0120 - 0.78 | 1.00
0121 - 0.89 | 0.91
0122 - 0.92 | 0.95
0123 - 0.92 | 0.94
0124 - 0.93 | 1.00
0125 - 0.92 | 0.93
0126 - 0.88 | 0.89
0127 - 0.96 | 1.00
0128 - 0.89 | 0.93
0129 - 0.46 | 0.46
0130 - 0.95 | 0.96
0131 - 0.99 | 1.00
0132 - 0.79 | 0.80
0133 - 0.97 | 1.00
0134 - 0.95 | 1.00
0135 - 0.92 | 0.93
0136 - 0.87 | 0.87
0137 - 0.96 | 0.99
0138 - 0.90 | 0.93
0139 - 0.87 | 1.00
0140 - 0.94 | 0.96
0141 - 0.94 | 0.98
0142 - 0.97 | 0.97
0143 - 0.99 | 1.00
0144 - 0.99 | 1.00
0145 - 0.95 | 1.00
0146 - 0.95 | 1.00
0147 - 0.96 | 1.00
0148 - 0.95 | 0.96
0149 - 0.98 | 1.00
0150 - 0.97 | 1.00
0151 - 0.82 | 0.84
0152 - 0.80 | 0.86
0153 - 0.96 | 1.00
0154 - 0.94 | 1.00
