==============================================
BLEU GOLD:                               65.57
BLEU IN:                                 88.78
ACC GOLD:                               0.0020
ACC IN:                                 0.4000
SIM GOLD:                               0.8890
SIM IN:                                 0.9743
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     15.35 |   15.98 |     0.95 |   1.00
0002 -     84.52 |  100.00 |     0.96 |   1.00
0003 -     99.48 |  100.00 |     0.84 |   1.00
0004 -     42.86 |  100.00 |     0.91 |   1.00
0005 -     99.25 |   50.84 |     1.00 |   0.96
0006 -      0.00 |    0.00 |     0.86 |   0.99
0007 -     29.46 |   30.84 |     0.85 |   0.90
0008 -      0.00 |   51.65 |     0.67 |   0.90
0009 -      0.00 |    0.00 |     0.81 |   0.99
0010 -      0.00 |    0.00 |     0.96 |   0.97
0011 -     99.17 |  100.00 |     0.87 |   1.00
0012 -     58.29 |  100.00 |     0.95 |   1.00
0013 -     54.02 |   53.74 |     0.93 |   0.97
0014 -      0.00 |   10.65 |     0.78 |   1.00
0015 -     50.22 |   51.62 |     0.93 |   0.98
0016 -     57.48 |  100.00 |     0.81 |   1.00
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -      0.00 |    0.00 |     0.72 |   0.82
0019 -     84.76 |    0.00 |     0.96 |   0.99
0020 -     53.65 |   43.66 |     0.85 |   1.00
0021 -     79.72 |  100.00 |     0.96 |   1.00
0022 -      0.00 |   24.46 |     0.95 |   1.00
0023 -      9.45 |  100.00 |     0.92 |   1.00
0024 -      6.15 |    6.00 |     0.99 |   1.00
0025 -     85.89 |  100.00 |     0.89 |   1.00
0026 -     22.00 |   22.08 |     0.98 |   0.99
0027 -     60.11 |  100.00 |     0.93 |   1.00
0028 -     99.40 |  100.00 |     0.93 |   1.00
0029 -     59.15 |  100.00 |     0.95 |   1.00
0030 -     30.09 |   99.81 |     0.98 |   0.98
0031 -      0.00 |    0.00 |     0.88 |   0.96
0032 -     18.37 |   77.86 |     0.89 |   0.98
0033 -     51.80 |  100.00 |     0.87 |   1.00
0034 -     20.70 |   98.08 |     0.97 |   0.99
0035 -     50.70 |   95.84 |     0.87 |   0.99
0036 -     29.24 |  100.00 |     0.99 |   1.00
0037 -      8.13 |   18.70 |     0.87 |   1.00
0038 -     23.46 |  100.00 |     0.95 |   1.00
0039 -     19.07 |   99.81 |     0.94 |   1.00
0040 -     99.81 |  100.00 |     0.90 |   1.00
0041 -     42.27 |  100.00 |     0.93 |   1.00
0042 -     62.86 |   51.57 |     0.63 |   0.82
0043 -     21.48 |    8.53 |     0.97 |   0.98
0044 -     99.78 |  100.00 |     0.92 |   1.00
0045 -      7.46 |    7.60 |     0.89 |   0.98
0046 -      0.00 |    0.00 |     0.82 |   0.83
0047 -     24.64 |  100.00 |     0.93 |   1.00
0048 -     25.78 |   19.43 |     0.91 |   0.98
0049 -     56.71 |   56.78 |     0.99 |   0.99
0050 -     42.97 |   90.37 |     0.90 |   0.95
0051 -     19.19 |   48.52 |     0.93 |   0.99
0052 -     67.65 |  100.00 |     0.95 |   1.00
0053 -      0.00 |    0.00 |     0.57 |   0.80
0054 -     39.82 |   70.17 |     0.76 |   0.90
0055 -      0.00 |  100.00 |     0.92 |   1.00
0056 -     15.64 |   15.31 |     0.98 |   1.00
0057 -     67.42 |   69.16 |     0.94 |   0.95
0058 -      0.00 |    0.00 |     0.87 |   0.83
0059 -      0.00 |  100.00 |     0.83 |   1.00
0060 -     73.59 |   99.45 |     0.95 |   1.00
0061 -     17.35 |  100.00 |     0.99 |   0.99
0062 -     71.70 |  100.00 |     0.97 |   1.00
0063 -      0.00 |    0.00 |     0.75 |   0.84
0064 -     57.79 |  100.00 |     0.95 |   1.00
0065 -      5.79 |    5.79 |     0.93 |   0.95
0066 -     32.15 |   94.78 |     0.92 |   0.99
0067 -      0.00 |    0.00 |     0.97 |   0.97
0068 -     47.95 |  100.00 |     0.73 |   1.00
0069 -      0.00 |  100.00 |     0.93 |   1.00
0070 -     25.95 |   97.59 |     0.96 |   1.00
0071 -      7.14 |  100.00 |     0.94 |   0.99
0072 -     58.83 |  100.00 |     0.84 |   1.00
0073 -     78.14 |   52.70 |     0.86 |   1.00
0074 -      0.00 |    0.00 |     0.83 |   0.75
0075 -     62.77 |   96.24 |     0.96 |   0.99
0076 -     46.79 |   36.49 |     0.87 |   1.00
0077 -     60.76 |   56.85 |     0.93 |   0.98
0078 -      0.00 |    0.00 |     0.74 |   0.89
0079 -      0.00 |   81.81 |     0.93 |   0.97
0080 -      6.08 |    6.55 |     0.89 |   0.96
0081 -     81.96 |  100.00 |     0.94 |   1.00
0082 -      0.00 |  100.00 |     0.90 |   1.00
0083 -      0.00 |   86.09 |     0.84 |   0.85
0084 -     51.92 |  100.00 |     0.85 |   1.00
0085 -      0.00 |  100.00 |     0.73 |   1.00
0086 -      0.00 |  100.00 |     0.89 |   1.00
0087 -     80.96 |  100.00 |     0.90 |   1.00
0088 -      0.00 |    0.00 |     0.91 |   0.94
0089 -     28.79 |   27.96 |     0.92 |   0.93
0090 -     74.63 |   91.35 |     0.84 |   0.99
0091 -      0.00 |  100.00 |     0.91 |   1.00
0092 -     60.96 |  100.00 |     0.96 |   1.00
0093 -      0.00 |    0.00 |     0.85 |   0.98
0094 -      9.69 |   26.67 |     0.82 |   0.98
0095 -     93.94 |  100.00 |     0.94 |   1.00
0096 -      0.00 |    0.00 |     1.00 |   0.94
0097 -     36.16 |   84.54 |     0.83 |   0.90
0098 -     54.51 |  100.00 |     0.91 |   1.00
0099 -     84.36 |   86.47 |     0.86 |   0.99
0100 -     54.67 |   74.43 |     0.69 |   1.00
0101 -     39.55 |  100.00 |     0.84 |   1.00
0102 -     87.68 |   72.41 |     0.96 |   1.00
0103 -     13.41 |  100.00 |     0.96 |   1.00
0104 -     43.08 |   99.80 |     0.93 |   0.98
0105 -     12.41 |   11.33 |     0.93 |   1.00
0106 -     47.42 |   47.54 |     0.94 |   0.95
0107 -      0.00 |    0.00 |     0.83 |   0.92
0108 -     55.38 |  100.00 |     0.84 |   1.00
0109 -     97.14 |   87.14 |     0.88 |   0.94
0110 -     12.71 |  100.00 |     0.91 |   1.00
0111 -     55.75 |  100.00 |     0.95 |   1.00
0112 -     49.68 |  100.00 |     0.95 |   1.00
0113 -     16.64 |   15.43 |     0.91 |   0.96
0114 -      0.00 |    4.59 |     0.76 |   0.74
0115 -     58.94 |  100.00 |     0.99 |   1.00
0116 -     55.67 |  100.00 |     0.91 |   1.00
0117 -     16.18 |   36.55 |     0.96 |   0.96
0118 -     14.29 |   15.05 |     0.92 |   0.98
0119 -      8.10 |    8.35 |     0.91 |   1.00
0120 -     15.45 |   98.65 |     0.91 |   0.94
0121 -      0.00 |  100.00 |     0.82 |   1.00
0122 -     89.14 |   74.80 |     0.97 |   1.00
0123 -     23.37 |   97.29 |     0.92 |   0.99
0124 -     43.18 |  100.00 |     0.58 |   1.00
0125 -      0.00 |  100.00 |     0.95 |   1.00
0126 -      0.00 |   95.09 |     0.95 |   0.99
0127 -      0.00 |   64.21 |     0.95 |   0.98
0128 -      6.14 |    0.00 |     0.87 |   0.98
0129 -     23.85 |   76.50 |     0.79 |   0.97
0130 -     70.54 |   82.87 |     0.95 |   0.99
0131 -     66.73 |  100.00 |     0.96 |   1.00
0132 -     59.60 |  100.00 |     0.81 |   1.00
0133 -     17.58 |   59.53 |     0.88 |   0.94
0134 -     68.63 |   68.15 |     0.95 |   1.00
0135 -     41.17 |  100.00 |     0.97 |   1.00
0136 -     31.71 |   99.85 |     0.96 |   1.00
0137 -     12.35 |   91.10 |     0.96 |   1.00
0138 -      0.00 |   94.13 |     0.80 |   0.97
0139 -     61.02 |  100.00 |     0.94 |   1.00
0140 -     24.21 |   79.51 |     0.91 |   1.00
0141 -     32.21 |   24.35 |     0.85 |   0.98
0142 -     57.08 |   59.16 |     0.71 |   0.95
0143 -      5.67 |    4.70 |     0.69 |   0.75
0144 -     14.85 |   14.57 |     0.89 |   0.99
0145 -     31.40 |   99.60 |     0.94 |   0.97
0146 -     46.69 |   72.53 |     0.96 |   0.99
0147 -     10.08 |   95.78 |     0.84 |   0.97
0148 -     61.62 |   77.86 |     0.86 |   0.98
0149 -      0.00 |  100.00 |     0.96 |   1.00
0150 -     17.41 |  100.00 |     0.81 |   0.99
0151 -      0.00 |   17.06 |     0.73 |   0.92
0152 -     93.90 |   73.48 |     0.96 |   0.99
0153 -     89.35 |    4.72 |     0.99 |   1.00
0154 -     14.12 |  100.00 |     0.80 |   1.00
0155 -      7.24 |    6.22 |     0.90 |   0.98
0156 -      0.00 |  100.00 |     0.92 |   1.00
0157 -     79.35 |  100.00 |     0.82 |   1.00
0158 -     59.84 |  100.00 |     0.88 |   1.00
0159 -     15.96 |  100.00 |     0.97 |   1.00
0160 -     66.12 |  100.00 |     0.88 |   1.00
0161 -      0.00 |    0.00 |     0.70 |   0.88
0162 -     31.96 |   38.56 |     1.00 |   0.98
0163 -     74.19 |  100.00 |     0.99 |   1.00
0164 -     24.10 |  100.00 |     0.74 |   1.00
0165 -      0.00 |   55.93 |     0.93 |   0.96
0166 -     18.25 |   94.41 |     0.86 |   0.98
0167 -      0.00 |    0.00 |     0.91 |   0.98
0168 -     26.67 |  100.00 |     0.83 |   1.00
0169 -      0.00 |    7.86 |     0.74 |   0.95
0170 -     38.03 |   98.63 |     0.94 |   0.99
0171 -     80.69 |   80.72 |     0.99 |   1.00
