==============================================
BLEU GOLD:                               27.41
BLEU IN:                                 49.25
SIM GOLD:                               0.8516
SIM IN:                                 0.9311
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -      0.00 |    0.00 |     0.71 |   0.81
0002 -     83.78 |  100.00 |     0.96 |   1.00
0003 -      0.00 |    0.00 |     0.77 |   0.95
0004 -     37.27 |   93.97 |     0.88 |   0.98
0005 -     54.73 |   88.40 |     0.95 |   0.97
0006 -      0.00 |    0.00 |     0.83 |   0.97
0007 -      0.00 |    0.00 |     0.45 |   0.41
0008 -      0.00 |    0.00 |     0.72 |   0.95
0009 -      0.00 |    0.00 |     0.71 |   0.88
0010 -     11.27 |   69.52 |     0.99 |   1.00
0011 -     88.62 |   92.05 |     0.84 |   0.98
0012 -     68.21 |  100.00 |     0.95 |   1.00
0013 -     15.49 |   16.52 |     0.74 |   0.81
0014 -      0.00 |   89.92 |     0.77 |   0.99
0015 -      0.00 |    0.00 |     0.91 |   0.97
0016 -     25.68 |   25.69 |     0.81 |   0.99
0017 -      0.00 |  100.00 |     0.62 |   1.00
0018 -     35.34 |   38.37 |     0.91 |   0.97
0019 -      0.00 |   95.76 |     0.95 |   0.98
0020 -     48.15 |   43.98 |     0.85 |   1.00
0021 -      8.14 |    8.56 |     0.93 |   0.98
0022 -      0.00 |   99.15 |     0.93 |   0.97
0023 -      0.00 |   99.16 |     0.91 |   0.98
0024 -     70.95 |   76.65 |     0.94 |   0.95
0025 -     30.98 |   35.54 |     0.86 |   0.92
0026 -     20.16 |   21.07 |     0.98 |   0.99
0027 -     39.94 |   88.63 |     0.93 |   0.96
0028 -     37.08 |   31.38 |     0.93 |   1.00
0029 -     54.34 |   58.28 |     0.91 |   0.95
0030 -      0.00 |    0.00 |     0.73 |   0.74
0031 -     20.24 |    0.00 |     0.56 |   0.64
0032 -     17.64 |   85.01 |     0.89 |   0.98
0033 -      0.00 |    0.00 |     0.87 |   0.94
0034 -      0.00 |    0.00 |     0.87 |   0.89
