==============================================
BLEU GOLD:                               80.30
BLEU IN:                                 89.24
SIM GOLD:                               0.9407
SIM IN:                                 0.9759
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     74.17 |  100.00 |     0.96 |   1.00
0002 -     92.47 |   99.74 |     0.95 |   0.97
0003 -     26.24 |   81.07 |     0.96 |   0.97
0004 -      0.00 |    0.00 |     0.79 |   0.84
0005 -     24.93 |  100.00 |     0.97 |   1.00
0006 -     94.51 |  100.00 |     1.00 |   1.00
0007 -     41.15 |   58.54 |     0.75 |   0.78
0008 -     31.24 |  100.00 |     0.93 |   1.00
0009 -      4.73 |    4.80 |     0.97 |   0.99
0010 -     89.53 |  100.00 |     0.98 |   1.00
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     51.64 |   56.93 |     0.95 |   0.98
0013 -     33.91 |   35.17 |     0.98 |   1.00
0014 -     45.16 |  100.00 |     0.99 |   1.00
0015 -     61.27 |   74.58 |     0.90 |   0.88
0016 -      0.00 |    0.00 |     0.95 |   0.99
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -     34.97 |  100.00 |     0.98 |   1.00
0019 -     35.42 |  100.00 |     0.99 |   1.00
0020 -     66.67 |   25.93 |     0.99 |   0.99
0021 -     36.52 |   54.97 |     0.99 |   1.00
0022 -     92.59 |  100.00 |     0.96 |   1.00
0023 -     15.01 |   17.63 |     0.94 |   0.95
0024 -     35.02 |  100.00 |     0.97 |   1.00
0025 -     46.98 |  100.00 |     0.88 |   1.00
0026 -      0.00 |    0.00 |     0.99 |   1.00
0027 -      0.00 |  100.00 |     0.89 |   1.00
0028 -     60.77 |  100.00 |     0.97 |   1.00
0029 -     83.34 |   15.29 |     0.92 |   0.95
0030 -      0.00 |    0.00 |     0.78 |   0.78
0031 -      0.00 |    0.00 |     0.97 |   0.97
0032 -     91.64 |   88.12 |     0.99 |   1.00
0033 -     93.58 |  100.00 |     0.97 |   1.00
0034 -     71.12 |   47.06 |     0.97 |   1.00
0035 -      0.00 |  100.00 |     0.98 |   1.00
0036 -      0.00 |  100.00 |     0.95 |   1.00
0037 -     12.34 |  100.00 |     0.92 |   1.00
0038 -     28.30 |  100.00 |     0.96 |   1.00
0039 -     62.96 |  100.00 |     0.98 |   1.00
