==============================================
BLEU GOLD:                               70.15
BLEU IN:                                 78.26
ACC GOLD:                               0.0072
ACC IN:                                 0.2428
SIM GOLD:                               0.9053
SIM IN:                                 0.9386
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0001 -     62.17 |   69.54 |     0.93 |   0.96
0002 -      0.00 |    0.00 |     0.70 |   0.71
0003 -     26.24 |   79.37 |     0.97 |   0.98
0004 -      0.00 |    0.00 |     0.84 |   0.82
0005 -     26.13 |   84.43 |     0.97 |   0.99
0006 -      0.00 |    0.00 |     0.92 |   0.92
0007 -     39.07 |   57.14 |     0.72 |   0.75
0008 -     34.62 |   34.62 |     0.92 |   0.96
0009 -      4.46 |    5.46 |     0.97 |   0.99
0010 -     88.91 |   80.73 |     0.96 |   0.98
0011 -     40.21 |  100.00 |     0.95 |   1.00
0012 -     47.14 |   95.29 |     0.97 |   1.00
0013 -     33.91 |   35.17 |     0.96 |   0.98
0014 -     49.58 |   84.35 |     0.96 |   0.97
0015 -     58.10 |   53.55 |     0.94 |   0.94
0016 -      0.00 |    0.00 |     0.95 |   0.99
0017 -      0.00 |    0.00 |     0.93 |   0.99
0018 -     16.37 |   38.04 |     0.88 |   0.91
0019 -     14.87 |   79.63 |     0.91 |   0.93
0020 -      0.00 |    0.00 |     0.94 |   0.95
0021 -      0.00 |    0.00 |     0.96 |   0.97
0022 -     85.31 |   84.68 |     0.94 |   0.98
0023 -     15.01 |   17.63 |     0.94 |   0.95
0024 -     38.55 |   69.09 |     0.94 |   0.97
0025 -      8.05 |    8.26 |     0.84 |   0.93
0026 -      0.00 |    0.00 |     0.95 |   0.95
0027 -      0.00 |  100.00 |     0.89 |   1.00
0028 -     54.08 |   55.12 |     0.94 |   0.97
0029 -      0.00 |   46.65 |     0.97 |   0.99
0030 -      0.00 |    0.00 |     0.73 |   0.72
0031 -      0.00 |    0.00 |     0.87 |   0.89
0032 -     23.68 |   12.19 |     0.98 |   0.99
0033 -      3.51 |    3.54 |     0.77 |   0.80
0034 -     45.59 |   40.34 |     0.88 |   0.90
0035 -      0.00 |    0.00 |     0.53 |   0.56
0036 -      0.00 |    7.11 |     0.86 |   0.88
0037 -     12.34 |  100.00 |     0.92 |   1.00
0038 -     28.30 |  100.00 |     0.96 |   1.00
0039 -     62.96 |  100.00 |     0.98 |   1.00
0040 -     47.85 |   91.00 |     0.95 |   0.97
0041 -     20.59 |   20.75 |     0.98 |   0.99
0042 -     58.24 |   35.95 |     0.73 |   0.80
0043 -      0.00 |    0.00 |     0.96 |   0.96
0044 -      0.00 |    0.00 |     0.94 |   0.97
0045 -     63.28 |   63.96 |     0.88 |   0.91
0046 -     28.96 |   97.67 |     0.94 |   0.97
0047 -     67.45 |   99.32 |     0.48 |   0.85
0048 -     13.90 |   14.19 |     0.97 |   0.97
0049 -     57.56 |  100.00 |     0.98 |   1.00
0050 -     70.69 |  100.00 |     0.98 |   1.00
0051 -      0.00 |   66.05 |     0.88 |   0.98
0052 -     87.02 |    9.05 |     0.95 |   0.98
0053 -     41.11 |  100.00 |     0.98 |   1.00
0054 -      4.68 |    0.00 |     0.78 |   0.80
0055 -     54.50 |   54.50 |     0.95 |   0.99
0056 -     83.47 |  100.00 |     0.96 |   1.00
0057 -      0.00 |   20.53 |     0.73 |   0.83
0058 -     53.94 |   69.39 |     0.86 |   0.89
0059 -      0.00 |    7.50 |     0.80 |   0.79
0060 -      0.00 |    0.00 |     0.92 |   0.93
0061 -     90.52 |   94.42 |     0.97 |   0.98
0062 -      0.00 |    0.00 |     0.61 |   0.75
0063 -     25.27 |   25.01 |     0.84 |   0.94
0064 -     55.12 |   91.11 |     0.99 |   1.00
0065 -     67.84 |   92.82 |     0.93 |   0.98
0066 -     65.95 |  100.00 |     0.98 |   1.00
0067 -      0.00 |    0.00 |     0.75 |   0.74
0068 -      0.00 |    0.00 |     0.93 |   0.94
0069 -      0.00 |   99.02 |     0.90 |   0.93
0070 -      0.00 |    0.00 |     0.88 |   0.88
0071 -      0.00 |    0.00 |     0.97 |   0.96
0072 -     23.27 |  100.00 |     0.99 |   1.00
0073 -      0.00 |  100.00 |     0.92 |   1.00
0074 -      0.00 |    0.00 |     0.83 |   0.87
